transaction_id,amount,transactions_24h,risk_score,geo_distance_km,device_age_days,hour_deviation,is_anomaly,anomaly_type
TRN000070,72.0867,4.0,23.1646,109.9284,353.875,1.9533,0,Normal
TRN000071,111.0002,3.0,16.0607,78.778,173.3882,0.9867,0,Normal
TRN000072,48.7211,3.0,11.0084,21.6536,533.5287,2.4096,0,Normal
TRN000073,126.6702,2.0,18.4007,63.7348,160.5211,1.3642,0,Normal
TRN000074,158.7694,5.0,29.1158,23.537,326.4601,0.3733,0,Normal
TRN000075,101.1286,1.0,15.9364,1.136,380.8112,3.5331,0,Normal
TRN000076,18.0855,2.0,18.3429,13.7521,475.0837,0.3144,0,Normal
TRN000077,45.3114,1.0,14.1803,36.7143,139.4939,1.975,0,Normal
TRN000078,266.3851,2.0,27.9085,48.1587,76.3556,0.4401,0,Normal
TRN000079,71.9079,7.0,17.0305,18.6018,78.2427,3.8659,0,Normal
TRN000080,30.9094,4.0,27.1027,8.0259,662.6668,1.5061,0,Normal
TRN000081,189.5612,3.0,17.5722,30.6986,125.7343,0.0923,0,Normal
TRN000082,91.1826,3.0,23.6601,38.9217,752.2839,0.3576,0,Normal
TRN000083,168.5738,2.0,19.5392,5.2016,563.9152,0.0307,0,Normal
TRN000084,106.811,5.0,22.6592,44.4393,191.2798,1.4508,0,Normal
TRN000085,113.9422,1.0,16.2825,36.3601,93.5276,2.7334,0,Normal
TRN000086,117.5491,6.0,26.3922,59.8152,340.0646,0.6175,0,Normal
TRN000087,134.0339,4.0,24.9788,5.4284,244.3639,1.067,0,Normal
TRN000088,327.6364,3.0,33.2591,20.171,626.9806,1.0724,0,Normal
TRN000089,164.1641,4.0,30.7855,13.4916,378.7432,0.1777,0,Normal
TRN000090,40.2659,5.0,22.5684,15.1061,328.5091,0.1044,0,Normal
TRN000091,124.4892,4.0,30.9255,26.156,291.2398,0.0148,0,Normal
TRN000092,174.3562,5.0,26.0673,57.795,474.4098,3.4766,0,Normal
TRN000093,177.3607,3.0,28.0948,125.7072,312.2297,1.3248,0,Normal
TRN000094,73.6748,1.0,18.2222,78.4359,831.2116,4.2156,0,Normal
TRN000095,165.2312,1.0,16.5371,15.527,122.9755,0.878,0,Normal
TRN000096,146.1644,1.0,19.5219,18.4042,274.2841,1.5674,0,Normal
TRN000097,362.7502,3.0,31.7121,10.9788,438.8148,0.7668,0,Normal
TRN000098,59.0691,2.0,16.9064,26.3868,408.5923,1.1223,0,Normal
TRN000099,72.4396,2.0,19.5997,4.6106,829.9753,4.2911,0,Normal
TRN000100,75.6865,2.0,21.9758,21.1372,214.7591,1.5363,0,Normal
TRN000101,70.0555,3.0,18.8351,14.9664,54.7831,4.4635,0,Normal
TRN000102,62.3696,5.0,6.9635,19.3418,541.0171,1.4159,0,Normal
TRN000103,20.096,2.0,24.0947,26.0832,369.1806,4.0166,0,Normal
TRN000104,77.0299,6.0,22.2081,31.6694,543.542,1.9026,0,Normal
TRN000105,109.6121,1.0,13.22,26.1867,397.9948,1.7173,0,Normal
TRN000106,70.5539,2.0,11.8488,21.4814,69.7321,0.0706,0,Normal
TRN000107,259.1967,3.0,23.8897,34.0759,411.606,4.0992,0,Normal
TRN000108,92.5924,3.0,16.927,22.5119,213.8631,2.3919,0,Normal
TRN000109,200.378,5.0,22.8282,27.0692,274.4083,3.7515,0,Normal
TRN000110,100.4009,1.0,13.6034,15.9955,306.4672,0.2555,0,Normal
TRN000111,151.1799,4.0,25.94,48.8781,160.436,0.6483,0,Normal
TRN000112,110.5773,4.0,32.022,15.3066,209.6803,1.6507,0,Normal
TRN000113,192.759,3.0,27.3494,2.8209,491.6737,0.7031,0,Normal
TRN000114,90.4934,1.0,22.2803,34.3246,491.2608,2.3737,0,Normal
TRN000115,123.4088,4.0,20.4323,13.0791,114.3643,0.7229,0,Normal
TRN000116,111.3973,2.0,19.4222,45.7131,371.3901,0.9295,0,Normal
TRN000117,80.9053,5.0,24.4641,25.237,520.2589,0.8256,0,Normal
TRN000118,117.047,5.0,20.2989,48.6096,351.1135,2.0584,0,Normal
TRN000119,355.8275,7.0,32.8253,3.1992,383.0478,1.6501,0,Normal
TRN000120,79.6132,6.0,28.0592,15.1988,119.6946,0.6436,0,Normal
TRN000121,112.265,1.0,22.8807,10.7663,614.3455,0.4653,0,Normal
TRN000122,188.7665,4.0,24.9439,130.2156,169.0575,0.0726,0,Normal
TRN000123,177.3694,4.0,18.2321,17.591,266.4905,0.8199,0,Normal
TRN000124,102.8721,7.0,24.6226,5.5796,522.8099,4.0699,0,Normal
TRN000125,26.5472,5.0,13.2225,33.8248,728.4517,0.4851,0,Normal
TRN000126,126.9008,9.0,30.3175,9.8647,278.9429,0.729,0,Normal
TRN000127,30.3918,7.0,24.8407,52.374,939.8183,0.8821,0,Normal
TRN000128,198.7832,2.0,20.6039,58.8692,357.9254,0.7787,0,Normal
TRN000129,99.4578,1.0,18.1896,10.8705,336.1519,4.2435,0,Normal
TRN000130,155.0755,1.0,21.0121,13.4436,183.6962,0.2701,0,Normal
TRN000131,55.8224,2.0,18.2381,31.4053,269.7551,1.7613,0,Normal
TRN000132,37.4511,1.0,8.8031,53.5109,375.0003,1.0525,0,Normal
TRN000133,112.1697,1.0,16.1596,34.303,441.9152,0.3734,0,Normal
TRN000134,90.7672,3.0,21.7261,17.6166,430.9225,4.2187,0,Normal
TRN000135,66.9081,3.0,26.7353,6.8851,253.8022,0.6632,0,Normal
TRN000136,93.4136,3.0,18.4098,83.5128,659.5229,4.4785,0,Normal
TRN000137,436.4635,3.0,34.5304,34.9485,342.2638,2.8198,0,Normal
TRN000138,155.8636,6.0,30.846,96.0915,330.1297,0.502,0,Normal
TRN000139,191.4107,7.0,28.2162,38.8878,176.2791,1.6077,0,Normal
TRN000140,185.19,12.0,42.2237,87.4513,466.0635,0.2068,0,Normal
TRN000141,216.2472,2.0,28.5795,12.3089,319.8254,0.5892,0,Normal
TRN000142,80.3973,2.0,24.7158,13.1996,281.0447,2.3321,0,Normal
TRN000143,27.7662,2.0,18.264,21.7844,144.6263,2.1827,0,Normal
TRN000144,85.6417,4.0,32.7981,11.3824,148.292,0.415,0,Normal
TRN000145,140.5171,4.0,19.8417,4.5957,396.3767,0.4345,0,Normal
TRN000146,53.7152,2.0,27.5004,14.5309,710.9413,0.6823,0,Normal
TRN000147,82.3339,2.0,21.7232,38.469,293.2393,0.2936,0,Normal
TRN000148,63.4697,3.0,25.4234,7.8218,292.1338,4.8225,0,Normal
TRN000149,228.5711,10.0,33.3998,8.7835,469.1453,0.1666,0,Normal
TRN000150,142.5446,4.0,27.2114,15.4029,602.6338,0.3015,0,Normal
TRN000151,132.7466,1.0,25.281,10.1708,240.617,1.7282,0,Normal
TRN000152,125.4056,2.0,13.9524,16.2122,177.9324,1.4459,0,Normal
TRN000153,85.3307,2.0,17.1699,23.1776,315.0891,0.4817,0,Normal
TRN000154,101.7299,3.0,9.3543,8.4047,427.6876,0.6263,0,Normal
TRN000155,48.6106,4.0,18.8097,15.7309,78.5226,2.7048,0,Normal
TRN000156,31.6926,7.0,19.5292,24.9555,259.6707,2.3006,0,Normal
TRN000157,102.3571,4.0,20.4937,11.8305,297.6865,0.5507,0,Normal
TRN000158,118.8772,5.0,38.2789,6.8824,276.2677,4.2908,0,Normal
TRN000159,177.3532,2.0,29.7964,12.6886,136.3867,1.2564,0,Normal
TRN000160,210.2144,1.0,13.6603,18.5089,260.2215,2.3709,0,Normal
TRN000161,211.8779,1.0,23.6944,4.3045,300.3908,0.0217,0,Normal
TRN000162,52.1321,2.0,20.8193,38.918,194.9209,0.7476,0,Normal
TRN000163,89.5159,12.0,31.4436,19.3903,376.5215,4.9307,0,Normal
TRN000164,117.0612,2.0,19.9887,12.7554,506.1075,1.3048,0,Normal
TRN000165,396.4557,5.0,34.7559,5.1863,515.803,0.6872,0,Normal
TRN000166,202.1735,1.0,13.843,35.2039,222.0986,0.1161,0,Normal
TRN000167,183.4655,7.0,23.7646,59.2947,423.3225,1.5529,0,Normal
TRN000168,77.2956,6.0,24.5668,15.0919,404.5427,0.0847,0,Normal
TRN000169,57.0792,5.0,21.9948,90.291,794.1378,0.2461,0,Normal
TRN000170,144.07,1.0,14.9996,23.9973,424.4766,1.4301,0,Normal
TRN000171,49.426,4.0,15.758,24.7329,438.1411,1.283,0,Normal
TRN000172,84.2278,4.0,20.4991,47.3279,559.9397,1.7477,0,Normal
TRN000173,85.8017,4.0,25.4338,36.6351,156.5574,2.1813,0,Normal
TRN000174,212.4005,4.0,25.0516,7.7661,337.4115,1.0068,0,Normal
TRN000175,72.629,3.0,27.1557,14.5789,734.4143,3.398,0,Normal
TRN000176,24.6989,4.0,15.3854,53.3911,742.4062,2.0478,0,Normal
TRN000177,137.1694,7.0,28.2665,37.2031,260.1776,1.3175,0,Normal
TRN000178,64.2743,4.0,18.4781,90.8678,723.929,2.5062,0,Normal
TRN000179,95.1693,1.0,19.7707,32.9246,281.7226,1.6545,0,Normal
TRN000180,90.6748,5.0,18.7657,38.1774,383.7849,0.2767,0,Normal
TRN000181,87.58,9.0,38.2023,12.6486,123.4374,1.4131,0,Normal
TRN000182,146.3128,3.0,13.1679,58.6364,643.6328,0.0373,0,Normal
TRN000183,39.4182,1.0,23.457,1.7278,274.0801,0.6494,0,Normal
TRN000184,75.5076,7.0,25.5927,28.3359,139.0457,2.4855,0,Normal
TRN000185,139.7449,6.0,28.6532,39.0511,304.4443,1.4543,0,Normal
TRN000186,73.8975,6.0,30.259,31.2412,65.832,3.0921,0,Normal
TRN000187,39.0217,1.0,19.1541,24.1627,458.3733,1.4731,0,Normal
TRN000188,127.7557,1.0,14.3213,21.9665,581.8567,1.6121,0,Normal
TRN000189,163.1903,1.0,22.2121,24.9936,181.1398,0.0809,0,Normal
TRN000190,101.9644,5.0,32.4061,9.0977,177.2896,0.8829,0,Normal
TRN000191,35.7532,4.0,14.8149,31.1153,440.9454,1.7525,0,Normal
TRN000192,136.6309,6.0,36.3742,12.7849,469.4393,0.2024,0,Normal
TRN000193,36.8083,5.0,22.7168,15.1037,227.9554,2.7872,0,Normal
TRN000194,122.0687,5.0,21.6063,8.0664,195.4841,2.0476,0,Normal
TRN000195,54.5308,2.0,12.4421,149.924,528.4031,0.6973,0,Normal
TRN000196,47.3469,1.0,14.0407,29.4187,130.8876,0.9355,0,Normal
TRN000197,76.2544,3.0,9.3925,6.3839,252.1982,1.2945,0,Normal
TRN000198,82.8712,1.0,14.3243,27.0305,192.6199,2.8683,0,Normal
TRN000199,65.63,5.0,20.4824,58.1649,437.3901,2.8959,0,Normal
TRN000200,128.2048,3.0,15.6151,30.8442,201.4249,1.1235,0,Normal
TRN000201,74.6431,2.0,21.3517,23.6381,814.0923,3.5006,0,Normal
TRN000202,175.8739,4.0,23.0618,11.8076,565.4497,0.0811,0,Normal
TRN000203,109.7625,3.0,17.1627,30.8843,246.8831,1.1006,0,Normal
TRN000204,66.2549,1.0,14.1923,43.7353,396.663,1.3142,0,Normal
TRN000205,53.5083,1.0,17.1483,44.0903,203.611,2.0611,0,Normal
TRN000206,37.707,4.0,19.6858,28.6323,357.3698,1.4288,0,Normal
TRN000207,105.3707,3.0,16.6831,28.5612,218.4316,3.9952,0,Normal
TRN000208,72.7917,1.0,16.676,65.1747,171.5403,3.6525,0,Normal
TRN000209,24.3224,1.0,14.0979,60.3542,468.0165,0.5228,0,Normal
TRN000210,68.4739,3.0,13.1993,20.9296,200.3673,3.0804,0,Normal
TRN000211,60.323,4.0,18.6688,85.4782,202.4462,2.6017,0,Normal
TRN000212,209.625,3.0,26.7336,6.5125,340.8106,0.5447,0,Normal
TRN000213,36.7373,3.0,20.6465,29.6598,372.7746,0.6969,0,Normal
TRN000214,41.3067,1.0,13.7959,32.0586,167.8621,3.8411,0,Normal
TRN000215,169.3388,5.0,28.8107,11.152,418.9402,4.5174,0,Normal
TRN000216,210.0847,6.0,23.4532,5.0596,209.8534,0.8489,0,Normal
TRN000217,64.1143,3.0,13.9991,11.3961,143.5759,1.796,0,Normal
TRN000218,72.0796,13.0,32.7665,50.3755,271.6183,1.7404,0,Normal
TRN000219,130.2221,5.0,31.5456,51.4629,269.3152,2.5606,0,Normal
TRN000220,25.1307,2.0,16.6958,41.9701,400.7896,1.397,0,Normal
TRN000221,33.2163,4.0,17.7857,12.9988,809.7701,2.0392,0,Normal
TRN000222,81.2888,6.0,31.5658,51.9337,337.6106,0.3431,0,Normal
TRN000223,221.6316,3.0,22.8224,13.8643,430.039,2.2795,0,Normal
TRN000224,69.9724,1.0,27.1227,31.1053,121.3664,0.1619,0,Normal
TRN000225,99.4031,5.0,20.4227,24.8668,579.4172,2.205,0,Normal
TRN000226,176.8249,4.0,19.1302,17.8486,296.2049,2.5985,0,Normal
TRN000227,357.9541,8.0,35.6966,40.4264,150.7302,3.5139,0,Normal
TRN000228,77.488,7.0,23.9667,46.6098,567.8711,4.3554,0,Normal
TRN000229,88.9342,1.0,12.5741,12.2739,303.2141,2.3242,0,Normal
TRN000230,251.0313,2.0,36.796,26.0867,519.7654,2.4048,0,Normal
TRN000231,37.9666,3.0,19.422,44.8242,856.0557,0.5132,0,Normal
TRN000232,159.8023,3.0,24.4143,0.726,129.3088,0.7844,0,Normal
TRN000233,54.4165,3.0,16.0952,34.4088,204.9443,1.7861,0,Normal
TRN000234,106.9233,6.0,21.854,45.5217,471.9287,1.7488,0,Normal
TRN000235,78.9712,3.0,24.3918,35.613,314.4329,0.6084,0,Normal
TRN000236,53.4616,1.0,6.9919,36.9343,69.7971,1.9117,0,Normal
TRN000237,50.0407,3.0,12.5371,23.4033,255.2833,0.6929,0,Normal
TRN000238,107.9762,4.0,20.5426,43.2272,278.3255,0.4871,0,Normal
TRN000239,153.8781,5.0,31.641,7.5315,303.4221,0.4,0,Normal
TRN000240,84.7976,4.0,19.0953,11.4584,200.689,1.7189,0,Normal
TRN000241,93.1977,1.0,18.8427,36.4496,656.3938,1.486,0,Normal
TRN000242,127.4416,7.0,27.0991,43.3323,121.4569,4.4682,0,Normal
TRN000243,50.9107,1.0,21.7632,58.4368,385.4725,1.7838,0,Normal
TRN000244,131.7131,2.0,11.6863,76.7725,229.3935,0.7399,0,Normal
TRN000245,170.5223,11.0,38.1481,13.1682,220.1286,1.1596,0,Normal
TRN000246,369.4801,1.0,25.4373,8.9295,610.8859,0.1084,0,Normal
TRN000247,72.2702,2.0,22.1539,49.531,270.1901,1.343,0,Normal
TRN000248,82.452,10.0,25.7894,17.1669,386.6399,0.658,0,Normal
TRN000249,177.5661,11.0,34.8368,24.1933,488.7682,1.7405,0,Normal
TRN000250,139.0601,1.0,17.8546,45.9059,322.3,1.0736,0,Normal
TRN000251,68.3815,3.0,13.8812,29.6139,615.3558,1.0894,0,Normal
TRN000252,76.4438,4.0,14.2735,42.2173,141.7114,3.4813,0,Normal
TRN000253,141.617,7.0,24.5545,12.0156,399.2692,0.8583,0,Normal
TRN000254,56.6254,3.0,19.1315,32.3672,814.359,1.4003,0,Normal
TRN000255,73.6851,3.0,15.2944,31.8422,381.4218,0.6846,0,Normal
TRN000256,103.0479,4.0,19.9563,57.7003,105.145,1.8497,0,Normal
TRN000257,165.9579,8.0,20.3795,67.0974,406.8167,0.5156,0,Normal
TRN000258,65.7908,4.0,18.4494,16.8321,670.4713,0.4514,0,Normal
TRN000259,33.7201,4.0,24.2981,10.0348,257.1302,1.6537,0,Normal
TRN000260,30.6566,1.0,18.0989,44.091,255.3828,1.6789,0,Normal
TRN000261,46.2139,6.0,22.1829,4.5075,461.8691,4.8699,0,Normal
TRN000262,44.8029,3.0,19.2864,46.4068,418.1279,0.1828,0,Normal
TRN000263,87.075,1.0,12.4063,49.0869,328.7386,0.8635,0,Normal
TRN000264,47.3007,3.0,26.2777,15.6579,208.9528,1.2098,0,Normal
TRN000265,65.3479,5.0,32.126,1.078,241.6482,0.9423,0,Normal
TRN000266,65.1205,3.0,19.6033,52.9364,174.8572,1.277,0,Normal
TRN000267,74.0752,3.0,32.0461,70.4475,98.2474,2.1892,0,Normal
TRN000268,197.6085,4.0,21.5154,67.0841,579.6654,0.0648,0,Normal
TRN000269,135.0501,2.0,13.4714,68.6381,475.1836,0.0799,0,Normal
TRN000270,94.3966,1.0,13.2558,6.9328,450.2996,0.8341,0,Normal
TRN000271,70.0557,3.0,17.8545,26.7241,445.8208,1.7826,0,Normal
TRN000272,75.0771,2.0,29.188,31.6835,283.2431,0.7819,0,Normal
TRN000273,111.4539,4.0,20.4951,28.0348,262.5751,0.9393,0,Normal
TRN000274,149.3807,1.0,14.43,42.5457,151.6254,1.2167,0,Normal
TRN000275,63.0633,9.0,23.2149,9.405,496.4078,0.553,0,Normal
TRN000276,97.6158,4.0,27.1167,4.3521,1067.0932,4.4525,0,Normal
TRN000277,29.4779,3.0,22.5182,2.8133,397.4958,2.6635,0,Normal
TRN000278,99.7937,1.0,14.5654,53.7578,534.3458,3.8838,0,Normal
TRN000279,153.5257,4.0,13.9945,6.8447,535.4601,1.1354,0,Normal
TRN000280,81.4154,4.0,15.2066,27.8877,693.6053,3.3494,0,Normal
TRN000281,261.3513,4.0,35.7535,15.001,193.5365,0.4546,0,Normal
TRN000282,53.5267,2.0,20.3175,15.638,122.7465,1.9727,0,Normal
TRN000283,111.6832,4.0,22.2362,21.5059,355.355,0.9154,0,Normal
TRN000284,94.2053,2.0,27.6414,16.2656,297.7222,0.6865,0,Normal
TRN000285,84.0638,2.0,27.7339,4.3651,1018.2262,1.439,0,Normal
TRN000286,85.7551,2.0,17.8217,21.5197,176.4457,0.9699,0,Normal
TRN000287,100.7424,4.0,21.4381,12.2677,807.9359,3.5364,0,Normal
TRN000288,149.5922,4.0,20.3255,11.6845,299.366,0.2482,0,Normal
TRN000289,196.5584,5.0,24.9565,84.8798,164.3931,1.7448,0,Normal
TRN000290,92.9239,3.0,12.3207,5.7005,728.8118,0.5548,0,Normal
TRN000291,144.5571,1.0,11.1076,20.6544,195.2937,0.9389,0,Normal
TRN000292,64.15,6.0,14.632,29.8543,536.0864,1.5028,0,Normal
TRN000293,157.0845,6.0,31.9196,84.9451,360.969,0.5124,0,Normal
TRN000294,55.9539,1.0,7.6514,8.4065,806.3903,0.1927,0,Normal
TRN000295,168.3238,3.0,32.1411,64.6133,597.7728,0.4069,0,Normal
TRN000296,318.7559,4.0,25.5046,21.3849,295.0552,1.3585,0,Normal
TRN000297,88.9812,3.0,28.3011,22.0608,730.8158,1.8297,0,Normal
TRN000298,27.4762,3.0,15.6364,40.6867,424.2275,0.6909,0,Normal
TRN000299,64.2674,2.0,9.4184,71.9222,333.6129,0.4891,0,Normal
TRN000300,187.7315,3.0,29.4895,16.151,356.7222,4.1016,0,Normal
TRN000301,142.5353,5.0,31.4981,31.6435,547.3315,0.9476,0,Normal
TRN000302,100.3293,5.0,18.4813,28.3053,286.7534,2.401,0,Normal
TRN000303,171.8288,7.0,26.8557,27.2178,242.8247,0.5459,0,Normal
TRN000304,120.04,4.0,17.6724,46.0615,211.5604,0.7063,0,Normal
TRN000305,182.187,2.0,20.7739,13.1067,394.5497,2.1183,0,Normal
TRN000306,147.6245,4.0,23.706,18.2176,220.2459,0.4828,0,Normal
TRN000307,212.303,4.0,23.6737,4.5181,551.657,5.327,0,Normal
TRN000308,123.9636,7.0,17.7443,38.2879,282.8794,0.5449,0,Normal
TRN000309,159.3534,3.0,19.173,26.2052,442.0806,0.6308,0,Normal
TRN000310,88.843,8.0,30.6271,70.6555,615.8744,0.4351,0,Normal
TRN000311,72.4495,5.0,20.9912,8.2107,704.4608,0.1847,0,Normal
TRN000312,245.4163,4.0,24.9524,92.4253,372.7442,2.5023,0,Normal
TRN000313,118.5847,5.0,18.9966,43.2597,90.2241,2.7712,0,Normal
TRN000314,149.4426,3.0,18.6802,41.8594,93.7189,0.6745,0,Normal
TRN000315,105.3582,3.0,27.2323,14.6668,543.7928,1.9442,0,Normal
TRN000316,66.7129,4.0,14.6361,19.8657,187.4576,1.0893,0,Normal
TRN000317,94.4777,4.0,24.9108,17.0816,275.5922,0.2215,0,Normal
TRN000318,199.0834,2.0,22.2032,61.7956,586.9512,0.7167,0,Normal
TRN000319,135.0648,6.0,26.9513,3.6819,244.6323,0.9281,0,Normal
TRN000320,34.5647,3.0,14.048,22.4315,151.9315,0.0113,0,Normal
TRN000321,87.1707,3.0,17.7921,24.049,280.6434,2.6916,0,Normal
TRN000322,246.8251,2.0,23.6103,16.5447,488.7376,0.9391,0,Normal
TRN000323,89.6273,9.0,26.0336,10.4888,241.9032,0.0688,0,Normal
TRN000324,36.3756,6.0,23.9303,1.5711,453.1151,1.7049,0,Normal
TRN000325,300.0735,7.0,35.2898,22.7445,154.8214,0.0551,0,Normal
TRN000326,142.3302,2.0,30.8451,38.2112,207.9191,0.8031,0,Normal
TRN000327,84.0822,4.0,22.3338,26.2309,282.9283,0.3023,0,Normal
TRN000328,75.9976,5.0,12.5987,10.5003,628.2231,1.1796,0,Normal
TRN000329,160.7219,3.0,27.9404,24.2567,259.4527,0.8883,0,Normal
TRN000330,67.6304,2.0,16.3477,71.26,238.496,2.2787,0,Normal
TRN000331,194.4323,7.0,39.3648,13.659,239.0528,1.8137,0,Normal
TRN000332,130.9688,6.0,32.9385,29.4069,452.8555,3.0099,0,Normal
TRN000333,103.3824,2.0,16.092,32.7779,514.1718,2.1838,0,Normal
TRN000334,96.6002,2.0,21.9905,6.208,613.4734,0.3586,0,Normal
TRN000335,85.1324,2.0,15.0099,19.0645,874.379,0.8977,0,Normal
TRN000336,157.2459,1.0,19.0171,19.2624,395.9686,1.7668,0,Normal
TRN000337,56.214,1.0,18.8474,25.391,221.9552,0.4933,0,Normal
TRN000338,39.0353,7.0,29.4312,60.3131,305.1027,6.6549,0,Normal
TRN000339,141.1809,9.0,34.9174,7.8956,193.101,0.6029,0,Normal
TRN000340,137.2881,7.0,27.68,63.0328,357.6189,3.0746,0,Normal
TRN000341,111.5046,1.0,29.8198,40.4222,211.9413,3.2693,0,Normal
TRN000342,119.1425,4.0,20.3449,94.2073,611.5291,1.0672,0,Normal
