temperature,vibration,pressure,rpm,oil_quality,load,age_months,error_count,sensor_9,sensor_10,sensor_11,sensor_12,failure
65.286,2.667,61.673,1464.257,82.284,100.0,79.492,5.0,2.677,-3.699,-5.756,1.202,1
76.492,4.265,90.594,1857.747,39.591,64.574,127.331,7.0,-0.016,-0.71,-0.043,0.765,0
93.806,2.304,70.709,818.048,82.814,59.128,1.0,4.0,2.012,-5.2,-1.334,0.687,1
95.943,0.647,89.109,921.84,60.39,48.147,32.845,4.0,-0.717,-2.792,0.416,-0.851,0
112.21,4.638,81.518,1080.218,100.0,24.669,1.0,8.0,3.897,-9.096,5.413,-0.067,0
60.833,4.117,105.794,679.37,100.0,65.009,1.0,12.0,0.498,-7.009,2.304,1.106,0
69.844,4.203,87.747,1681.84,100.0,93.961,74.98,8.0,1.474,-4.502,-0.009,0.444,1
60.769,6.039,101.853,1512.227,70.785,49.844,53.956,7.0,0.184,-0.789,1.566,0.147,0
71.109,2.553,88.105,1065.358,69.908,97.765,77.672,-0.0,3.596,-4.037,-8.026,0.056,0
31.943,1.548,104.245,1348.327,44.561,30.34,68.903,0.0,1.295,3.479,-3.748,1.057,1
78.085,4.975,78.179,1509.578,73.139,57.825,100.864,0.0,1.806,-1.288,-2.91,0.514,0
93.316,5.498,105.221,1926.504,55.108,44.408,62.296,2.0,0.514,0.794,3.154,0.965,0
78.597,2.806,83.145,1777.035,41.269,37.327,69.947,4.0,3.154,-0.735,-0.642,-0.289,0
78.04,4.021,122.865,1717.087,43.811,59.742,51.977,2.0,2.63,-0.459,-0.175,1.019,0
68.032,3.004,117.017,1738.743,53.992,56.52,65.57,0.0,1.575,1.442,-0.699,-0.425,0
82.953,3.019,86.398,1746.474,100.0,21.602,27.367,7.0,1.198,-2.188,6.169,0.075,0
85.714,5.297,111.907,1417.646,69.689,31.979,30.488,0.0,3.904,-0.157,-1.258,-0.01,0
55.492,4.537,137.673,883.059,78.729,31.397,94.066,5.0,-1.002,-2.412,1.626,0.369,1
63.915,3.788,102.328,2115.267,40.377,64.49,67.089,4.0,2.003,1.725,-0.264,0.695,0
62.768,1.856,73.731,1975.108,100.0,62.157,72.862,5.0,0.639,-0.4,1.775,0.804,1
76.442,4.733,96.123,1460.671,77.713,33.447,23.621,5.0,0.373,-0.755,3.146,-0.59,0
46.793,4.41,94.116,973.685,67.981,83.655,23.885,7.0,-0.432,-1.463,-3.195,-1.7,0
118.84,4.621,78.189,1261.7,86.236,49.796,58.99,4.0,1.578,-6.095,1.923,0.977,0
59.687,3.78,126.932,2494.811,31.291,70.971,81.631,4.0,-0.814,5.264,2.772,-1.316,0
51.224,1.813,156.647,2158.416,23.769,22.516,94.231,-0.0,3.901,3.763,0.655,-1.117,0
92.902,5.522,110.196,1466.412,88.917,48.001,43.746,0.0,-0.933,1.348,2.06,-0.006,0
83.249,3.466,101.957,1097.767,85.432,71.542,63.477,2.0,2.836,-5.346,-2.432,0.637,0
57.866,2.064,97.829,2222.346,64.874,56.165,68.54,0.0,-2.424,8.013,1.223,-0.535,0
86.321,3.438,106.699,1551.718,79.424,45.421,14.341,0.0,0.691,1.708,1.274,0.1,0
82.194,3.848,109.084,1724.267,71.43,35.69,82.014,0.0,-1.174,3.244,2.062,0.193,1
55.518,4.827,99.531,1739.324,54.062,54.885,104.657,1.0,1.838,1.235,-2.751,-0.05,0
111.325,4.726,90.709,1293.85,95.836,42.023,56.048,2.0,3.961,-6.836,1.282,0.943,0
108.636,4.607,86.87,1424.022,67.125,39.416,92.9,0.0,2.078,-1.742,-1.26,0.756,1
90.351,2.446,74.626,1998.71,98.845,21.346,64.905,5.0,0.686,-1.079,5.988,-0.149,0
82.603,7.658,90.36,879.676,62.378,65.025,28.856,6.0,-1.008,-3.035,-0.568,0.261,0
38.088,2.923,80.665,993.901,85.874,74.995,55.699,3.0,2.209,-2.017,-6.403,-0.05,1
115.367,0.785,75.491,1592.216,100.0,13.885,34.25,7.0,1.564,-5.379,7.39,1.035,0
60.161,3.666,112.542,1027.403,71.407,52.94,89.058,1.0,-0.446,-0.625,-2.16,-0.859,1
69.68,4.647,106.337,880.513,50.435,79.506,41.564,3.0,0.643,-2.477,-4.06,-1.014,0
98.353,6.098,106.454,688.479,46.24,70.885,67.673,3.0,-0.371,-4.72,-2.384,0.185,1
79.181,2.511,103.18,697.388,61.483,78.278,35.918,1.0,2.271,-4.348,-5.393,-1.106,0
68.313,4.377,121.077,2207.958,42.065,47.148,84.442,2.0,2.151,2.619,1.176,-0.774,0
83.605,6.316,127.596,1876.912,61.146,42.957,64.864,0.0,1.332,1.33,2.406,1.263,0
75.336,3.01,126.08,1965.282,33.799,52.05,73.262,5.0,1.838,0.176,1.936,1.055,0
94.997,6.366,76.754,706.094,62.745,44.262,84.75,0.0,0.412,-3.32,-3.825,-0.1,0
104.868,4.683,95.536,1635.629,67.215,42.185,89.825,1.0,2.622,-3.027,0.886,-0.436,1
62.468,4.93,94.409,2320.869,14.829,50.302,98.446,9.0,0.547,2.758,1.532,-0.448,0
82.594,3.402,117.846,2117.267,40.236,21.339,121.671,1.0,-0.361,2.984,3.999,-0.486,0
60.692,2.996,95.196,2093.644,44.431,15.505,78.405,0.0,1.062,5.507,0.844,-0.95,0
95.238,6.266,95.5,1306.8,87.958,41.584,74.956,0.0,1.162,-1.447,-0.327,-0.2,0
74.925,6.525,157.665,2402.414,28.444,53.661,26.688,1.0,0.421,5.365,5.05,1.401,0
117.398,3.971,118.529,648.527,97.201,41.073,66.844,0.0,3.505,-7.901,-0.915,0.124,0
83.039,4.333,91.904,1116.867,83.315,60.528,30.287,2.0,2.396,-3.857,-1.549,0.94,0
65.724,3.385,64.195,1351.918,51.404,46.708,96.199,0.0,0.876,2.65,-6.103,0.731,1
67.859,3.734,129.281,2473.087,17.613,66.95,81.119,6.0,2.287,2.189,1.82,-0.912,0
51.749,7.857,78.425,1194.638,97.614,45.857,1.0,9.0,1.49,-2.351,1.752,1.225,0
69.277,5.096,105.768,1809.949,49.92,100.0,89.524,5.0,1.152,-1.159,-2.539,-0.334,0
55.987,2.175,96.824,1412.54,60.695,63.82,48.679,6.0,0.283,-0.178,-1.082,0.088,0
69.468,4.227,87.818,1660.547,75.979,81.559,53.759,1.0,1.393,-0.167,-2.298,0.66,1
90.406,1.941,49.861,1876.345,100.0,20.424,38.761,9.0,0.261,-2.486,6.703,0.468,0
79.43,4.821,66.485,1734.039,100.0,0.277,1.0,13.0,1.689,-3.561,11.26,0.673,0
14.249,4.234,104.174,1581.258,65.141,74.771,45.765,10.0,-1.903,2.723,-0.383,-0.933,0
66.898,4.778,80.001,2490.973,19.685,43.347,52.156,0.0,1.731,8.443,-1.843,1.735,1
119.372,6.294,140.783,1055.547,86.015,54.349,52.132,0.0,0.891,-5.164,3.024,0.782,0
75.994,2.694,122.961,1877.046,61.17,65.042,93.394,1.0,-0.289,1.268,1.468,-0.464,0
60.122,5.615,136.784,2450.061,16.83,68.321,93.661,8.0,1.016,2.731,2.461,-0.117,0
119.936,3.74,93.499,1732.642,62.298,0.0,106.658,0.0,3.76,-2.378,2.743,0.492,1
98.855,3.948,58.531,1587.965,60.293,48.937,52.032,6.0,-1.537,-0.563,2.336,0.895,0
143.249,4.455,73.586,851.916,95.573,45.332,19.497,2.0,2.298,-8.973,2.197,0.897,0
78.404,7.136,102.576,1077.571,100.0,45.654,14.158,10.0,3.957,-8.749,2.932,-0.936,0
83.094,2.365,108.238,1716.939,55.657,77.296,135.27,5.0,-0.529,-1.719,0.131,0.636,0
56.729,1.449,33.666,520.507,66.867,77.638,50.65,2.0,3.006,-3.933,-11.312,1.815,1
69.613,3.802,86.646,1179.416,74.294,50.677,31.242,7.0,0.561,-2.726,0.442,-0.061,0
79.314,4.185,66.877,1788.543,94.353,42.042,81.085,0.0,3.759,-0.2,-2.444,-0.86,1
86.678,3.982,124.795,1785.509,71.312,35.896,47.891,0.0,0.522,2.445,2.913,0.247,0
69.706,6.591,96.998,1915.48,86.253,52.077,47.858,3.0,-0.004,1.531,2.811,0.586,1
105.201,3.596,89.81,960.082,100.0,34.192,1.0,4.0,2.847,-6.388,2.743,-0.643,0
65.509,5.553,128.52,2193.225,48.412,7.95,23.395,0.0,1.349,8.005,2.987,-0.499,0
108.176,5.813,112.923,1299.183,87.56,87.26,68.963,1.0,0.458,-4.703,0.502,-0.405,0
97.617,7.32,84.165,1649.068,71.326,55.345,78.825,0.0,3.898,-1.141,-3.248,1.174,1
86.129,3.962,141.215,2008.53,53.962,100.0,16.566,3.0,1.499,-0.181,1.524,0.176,0
78.41,4.559,93.828,1114.355,62.91,43.162,5.138,1.0,-0.791,0.843,0.266,-1.49,0
76.095,5.686,76.914,1176.95,80.862,66.692,34.036,6.0,1.545,-4.004,-1.328,-2.131,0
92.394,5.608,95.403,1664.564,58.489,49.345,88.914,3.0,-0.204,-0.586,1.663,0.747,0
91.688,4.254,90.417,2206.909,76.567,66.509,67.49,0.0,3.148,1.523,-0.825,0.11,1
66.996,5.331,81.375,2020.397,37.728,62.274,56.884,3.0,2.258,2.138,-1.991,0.272,1
77.577,4.799,92.157,1395.577,89.174,46.804,28.163,4.0,0.35,-1.555,2.148,-0.151,0
60.589,2.385,102.224,1675.823,52.886,47.159,73.204,0.0,3.175,0.865,-2.739,1.194,0
86.878,3.63,110.048,1705.367,57.642,47.053,43.456,-0.0,2.965,-0.358,0.227,1.935,0
82.432,6.734,140.0,2246.691,33.441,39.769,66.354,1.0,1.486,3.072,3.8,1.237,0
54.576,1.272,80.562,1072.826,75.066,98.359,24.55,4.0,0.944,-1.703,-5.533,0.59,0
55.821,3.899,92.575,1464.766,68.809,97.085,47.985,0.0,1.524,0.928,-5.775,1.007,1
39.054,2.381,83.249,593.586,87.094,64.558,31.054,2.0,1.687,-2.488,-6.521,-0.499,1
67.459,3.543,125.397,2206.917,63.02,59.01,23.891,0.0,0.992,5.716,1.377,-1.292,0
117.502,4.195,81.488,536.67,100.0,74.943,34.074,-0.0,2.311,-8.539,-2.966,-0.26,0
96.34,3.619,119.16,1310.966,60.787,69.539,14.675,3.0,3.231,-4.214,-0.12,-1.271,0
114.754,4.657,125.446,1088.258,16.461,68.001,52.042,0.0,1.116,-2.219,-2.083,-0.573,1
55.999,4.248,143.756,2333.932,30.78,60.548,94.357,3.0,0.403,4.345,2.074,-0.843,0
109.207,3.19,97.597,959.169,68.952,29.003,12.594,3.0,-1.136,-2.766,3.863,-0.745,0
88.141,4.459,104.026,705.532,71.657,80.121,34.497,0.0,4.132,-6.53,-5.603,0.423,0
68.652,3.457,83.11,1388.352,53.719,51.982,51.317,0.0,2.633,1.026,-4.734,-0.266,1
108.652,2.568,92.129,1961.593,100.0,23.86,73.555,2.0,4.639,-5.242,5.124,1.262,0
94.957,4.893,110.016,1793.098,65.709,72.923,34.177,1.0,0.694,-0.119,1.708,2.012,0
63.258,2.256,71.463,1909.42,39.797,59.386,63.248,0.0,2.154,3.645,-4.288,1.797,1
54.778,5.108,82.449,1413.9,66.125,64.577,43.811,7.0,0.025,-0.495,-0.97,-0.75,0
79.96,2.6,90.204,1303.474,97.289,25.611,1.0,7.0,1.679,-3.286,4.245,0.561,0
91.501,4.123,118.757,1683.123,68.576,24.391,77.77,2.0,-0.158,-0.225,4.895,0.064,0
86.267,4.69,113.268,1065.767,78.658,54.484,61.873,3.0,3.293,-5.733,-1.056,0.299,0
109.269,3.944,121.004,1890.565,73.378,59.162,67.201,4.0,-0.94,-1.563,6.229,-0.992,1
122.202,3.861,83.88,1627.16,92.448,51.353,103.446,-0.0,4.062,-6.123,0.465,-0.336,0
45.034,6.144,57.953,1868.088,100.0,38.045,69.304,5.0,-2.105,1.81,3.993,0.011,1
100.335,4.924,102.505,1687.302,53.89,87.537,103.716,8.0,-1.364,-3.329,2.238,-0.033,0
85.737,4.653,102.052,1610.701,62.446,49.46,45.384,-0.0,1.585,0.075,0.278,-0.328,0
67.87,5.129,82.067,1450.78,79.118,62.946,48.094,6.0,0.485,-1.644,-0.072,-0.17,0
98.488,4.444,108.192,1507.881,69.494,93.766,70.022,5.0,0.374,-4.074,0.521,-0.364,1
79.23,3.302,118.584,1652.986,49.611,39.245,24.358,-0.0,1.947,1.536,0.922,-0.067,0
39.772,3.827,89.49,227.08,76.646,69.695,51.723,2.0,1.271,-3.943,-8.359,0.724,1
66.776,4.021,119.958,2075.931,27.99,55.175,59.653,10.0,1.908,-0.164,2.704,-0.249,1
54.298,4.028,95.752,1518.368,100.0,33.455,5.37,10.0,0.721,-1.833,4.764,0.425,0
100.808,3.277,117.217,1765.207,66.973,64.807,46.83,2.0,0.873,-1.193,2.794,-0.703,0
90.543,4.485,120.284,1735.842,58.487,68.075,87.139,3.0,0.852,-1.744,1.499,-0.775,0
66.414,4.854,105.323,1174.307,67.09,32.806,65.738,1.0,-0.282,0.464,-0.196,1.865,1
86.842,5.672,119.685,1522.136,59.306,34.45,47.935,0.0,4.532,-1.643,-0.564,-0.983,0
82.945,4.116,111.065,1637.428,64.667,62.73,128.029,2.0,-0.467,-0.915,0.45,0.065,0
77.666,5.688,98.397,1328.032,61.798,45.658,44.783,5.0,-1.078,-0.507,1.973,0.361,0
103.33,4.044,92.112,1482.68,76.965,27.718,54.229,2.0,0.925,-2.279,3.403,-0.488,0
107.139,3.869,99.005,1890.092,37.694,53.492,109.732,0.0,-0.563,0.753,1.594,1.613,1
106.421,6.04,116.077,1316.382,95.454,76.284,40.948,0.0,-1.069,-1.575,1.817,-0.576,0
74.617,3.802,101.411,1669.102,63.845,62.101,41.942,0.0,1.86,1.166,-1.504,0.901,0
58.935,6.033,85.202,2238.031,100.0,67.325,44.227,3.0,0.139,2.576,2.601,1.491,1
37.407,3.634,117.517,1518.681,84.121,70.575,98.559,3.0,0.944,0.167,-2.418,-0.84,1
66.347,4.417,82.952,2013.214,92.543,41.018,50.145,-0.0,0.369,3.069,2.072,-0.39,1
67.641,2.334,83.079,1343.12,60.31,39.6,64.676,1.0,0.854,0.587,-1.965,1.219,1
94.61,3.355,142.984,2152.541,29.919,26.042,96.384,5.0,1.1,0.427,6.072,0.967,0
62.948,4.569,104.468,543.963,80.003,74.915,1.0,7.0,0.715,-4.74,-2.094,-1.683,0
90.508,6.236,121.361,1652.762,59.346,55.16,52.858,0.0,3.144,-1.635,0.283,1.853,0
56.81,2.869,72.425,1189.727,98.924,46.797,66.563,4.0,0.029,-1.476,-1.057,-0.034,1
141.982,3.014,85.102,1248.811,91.453,0.0,1.072,3.0,-0.019,-4.491,10.092,-1.95,1
70.643,5.469,94.394,1823.761,100.0,45.719,47.416,5.0,-2.816,1.406,6.19,0.58,1
111.852,3.61,101.657,1247.349,91.272,44.218,1.0,0.0,1.662,-1.549,1.356,-0.931,0
72.885,4.306,97.828,1756.767,51.758,100.0,84.967,7.0,2.082,-3.008,-2.929,-1.145,0
115.919,3.583,96.124,855.592,37.691,64.804,103.817,-0.0,4.088,-7.152,-5.508,-1.142,1
66.493,4.814,86.981,1610.327,65.805,61.962,63.189,3.0,0.46,0.611,-1.122,1.461,0
82.418,1.353,118.004,1928.766,36.571,77.633,90.775,7.0,1.253,-1.768,1.117,-0.451,0
79.173,4.876,74.135,1750.731,100.0,13.871,85.817,-0.0,1.882,-0.662,2.463,-1.58,1
68.037,4.13,84.877,1050.28,63.301,84.811,40.697,6.0,0.607,-3.051,-3.497,-0.48,0
94.875,2.393,102.277,1501.55,85.523,49.797,78.975,7.0,-1.614,-3.204,5.237,0.469,1
91.827,0.639,85.083,1093.006,100.0,32.078,1.0,6.0,2.631,-6.137,3.315,-0.085,0
53.749,2.778,124.929,955.882,62.822,46.919,60.782,1.0,-0.479,0.309,-1.659,-0.821,1
78.715,5.222,118.625,2028.652,52.246,49.364,92.927,2.0,-0.032,1.917,2.691,-0.178,0
91.398,6.813,121.098,2020.194,59.94,38.058,85.604,-0.0,-2.133,3.325,5.353,-1.167,0
89.952,1.702,101.444,1505.286,77.208,61.559,63.393,0.0,1.531,-1.352,-0.57,-0.7,0
65.759,3.499,94.334,1471.606,100.0,72.118,77.184,14.0,-3.035,-4.587,5.969,1.119,1
88.421,4.08,97.52,1633.39,68.993,54.091,72.312,0.0,-1.347,1.056,1.772,-1.223,0
77.646,1.886,95.826,1911.752,53.653,84.428,95.595,4.0,-1.34,1.041,0.28,1.19,0
53.296,4.329,93.828,1398.028,60.204,52.286,77.154,0.0,0.379,3.716,-4.621,1.42,1
77.267,5.738,79.961,1920.887,94.503,42.551,63.042,0.0,1.247,1.517,1.104,1.053,0
91.513,3.158,105.621,1344.766,89.233,59.441,1.0,0.0,1.697,-0.261,-0.023,1.201,0
125.961,3.045,84.778,585.4,48.486,57.704,32.096,0.0,0.091,-4.269,-2.588,0.158,0
96.449,3.401,98.121,652.421,39.571,65.617,76.286,2.0,1.674,-5.182,-4.964,-0.594,1
77.106,4.418,87.2,1455.823,61.115,36.569,59.473,-0.0,4.021,-1.42,-2.577,-1.716,0
36.677,2.208,87.732,1101.105,72.62,44.075,66.056,0.0,1.118,1.784,-5.225,1.575,1
91.715,4.365,92.457,1499.935,72.749,47.746,68.441,0.0,0.592,-0.935,0.662,-0.01,0
81.477,3.411,77.168,1441.179,100.0,4.108,1.0,12.0,1.524,-4.958,10.064,-0.37,0
81.085,5.06,104.657,1549.491,64.541,43.2,68.477,0.0,1.997,0.004,-0.699,0.426,0
93.559,4.183,124.96,1862.84,40.493,6.479,59.397,1.0,3.154,0.154,3.894,0.405,0
41.354,3.236,99.801,1818.534,79.456,45.402,37.763,8.0,-0.174,1.522,3.021,-1.279,0
138.478,2.34,80.237,646.885,100.0,50.118,1.0,0.0,5.78,-11.92,-0.147,0.364,0
108.778,7.421,95.665,1621.017,60.419,34.496,88.083,0.0,-0.158,-0.758,2.789,-0.078,0
63.559,3.554,94.69,1080.994,22.797,92.675,105.967,1.0,-1.338,0.944,-7.067,0.261,0
78.834,5.429,117.444,1856.39,28.333,9.859,84.622,2.0,2.62,1.302,1.903,0.501,0
83.986,2.557,109.026,1348.116,81.94,59.824,49.022,0.0,0.928,-0.72,-0.568,-0.229,0
74.25,1.995,108.115,1297.995,68.848,46.705,36.917,5.0,-0.337,-1.038,1.97,1.659,0
36.334,4.3,91.746,670.821,34.522,97.637,21.461,7.0,-1.041,-0.319,-7.209,-0.793,0
67.954,5.547,102.512,1702.711,75.495,57.057,47.82,0.0,1.061,2.654,-1.182,-0.253,0
85.238,4.23,126.63,1887.789,40.338,51.253,88.513,0.0,-1.078,3.613,1.743,1.036,1
103.697,6.018,83.093,1291.585,98.341,36.412,22.958,4.0,1.167,-4.239,3.545,-0.298,0
137.453,4.725,106.113,1282.127,82.835,22.661,58.93,0.0,1.583,-5.559,5.051,1.574,0
99.003,1.655,88.052,2019.349,100.0,13.822,96.989,2.0,1.466,-1.393,5.734,0.176,1
79.779,2.279,102.354,1660.985,45.819,76.749,45.44,5.0,2.014,-1.677,-0.837,0.893,0
61.693,3.326,63.872,2712.979,100.0,22.854,59.295,0.0,2.791,5.623,2.812,-0.599,1
97.732,5.015,84.316,1216.927,77.542,35.223,19.718,5.0,1.727,-4.004,2.107,0.625,0
87.492,3.393,133.941,1843.976,41.782,83.18,49.246,6.0,1.708,-1.915,1.738,0.05,0
88.196,2.545,82.58,1773.093,100.0,15.612,29.6,6.0,1.016,-2.232,6.925,-0.216,0
68.824,3.006,127.475,1541.623,38.265,62.949,57.858,1.0,0.171,1.83,-0.792,-0.872,1
63.825,5.137,112.985,2178.327,47.963,74.078,105.88,3.0,-0.686,3.128,0.767,-0.608,0
126.073,2.686,86.882,1010.57,100.0,29.804,14.804,3.0,3.592,-8.574,3.506,-0.063,0
58.876,4.146,92.317,1372.986,38.079,75.739,72.634,3.0,-1.426,1.967,-3.278,0.627,0
132.984,3.213,68.502,2081.423,100.0,0.0,70.764,4.0,2.038,-4.338,9.301,1.129,0
93.375,4.368,102.104,1546.216,74.15,49.178,57.432,0.0,2.36,-1.612,0.144,-0.018,0
81.323,2.754,89.924,1321.647,67.029,60.051,75.78,4.0,1.3,-2.982,-1.212,0.158,1
106.832,3.866,98.163,1681.657,88.022,23.135,63.482,3.0,1.79,-3.402,5.224,0.432,0
78.293,5.471,81.95,2008.216,84.233,28.88,59.873,6.0,-0.271,0.422,5.55,-0.193,0
107.025,5.615,122.694,1267.238,82.171,33.97,72.799,0.0,-0.278,-1.189,2.707,0.072,0
87.446,1.644,102.33,1972.918,59.501,54.865,50.442,0.0,-2.933,4.337,4.052,0.315,0
73.041,5.376,92.073,2102.419,36.984,1.488,77.906,1.0,0.655,4.797,2.949,0.622,0
63.446,3.732,71.77,1684.019,92.447,27.966,66.39,0.0,1.412,1.789,-0.41,0.382,1
61.207,3.251,67.579,933.821,48.007,18.445,80.742,0.0,0.988,0.252,-4.44,-1.766,1
74.405,4.272,106.836,2131.74,53.04,28.491,84.639,0.0,-1.56,5.628,3.563,0.726,0
76.337,3.992,127.198,1425.365,83.149,54.494,77.29,3.0,2.66,-3.651,0.641,-0.089,1
90.396,4.105,96.301,1719.432,74.443,37.355,52.186,0.0,0.956,1.337,1.441,1.092,0
42.737,5.471,120.118,961.416,73.874,78.023,57.505,4.0,0.95,-2.08,-3.839,0.783,1
92.811,5.41,102.214,1556.267,80.089,100.0,54.192,2.0,-1.793,-1.015,0.308,-0.1,0
91.581,4.501,74.895,1383.43,93.245,27.657,3.286,6.0,0.382,-2.634,4.616,0.137,0
84.587,2.034,92.678,2206.892,78.466,62.839,52.164,0.0,1.73,2.785,0.645,0.479,1
83.331,4.255,83.79,934.003,100.0,43.273,1.0,7.0,1.904,-6.135,2.875,0.908,1
94.162,2.39,107.112,1655.835,85.771,82.442,87.87,0.0,-3.822,0.952,2.844,-0.779,0
86.15,4.835,93.002,1056.034,60.062,64.014,40.923,5.0,-0.125,-2.861,-0.682,-1.673,0
