age,monthly_income,monthly_transactions,average_basket,engagement_score,channel,region,membership
41.18,16513.575,7,435.446,52.99,Web,Ege,Standard
44.944,29997.56,7,477.453,75.325,Web,Ic_Anadolu,Standard
21.971,26508.522,7,403.346,64.275,Store,Ic_Anadolu,Silver
34.484,14153.104,6,463.367,64.482,Web,Ic_Anadolu,Standard
32.826,36236.939,9,500.066,57.083,Mobile,Ic_Anadolu,Silver
30.972,27053.875,12,395.397,76.239,Mobile,Ege,Silver
34.973,14077.057,12,222.591,74.421,Web,Marmara,Standard
54.444,43003.461,8,532.257,66.045,Mobile,Akdeniz,Silver
28.476,53922.459,8,413.877,53.717,Web,Marmara,Gold
48.651,55063.77,4,566.009,76.892,Store,Marmara,Silver
19.488,35825.079,11,464.889,72.257,Mobile,Marmara,Standard
34.316,31808.922,11,319.909,80.878,Mobile,Ege,Standard
39.79,51776.907,11,542.398,48.67,Mobile,Ege,Standard
44.448,59237.245,6,565.054,66.768,Mobile,Ic_Anadolu,Standard
45.823,48086.469,9,522.493,61.131,Web,Ege,Standard
46.727,21855.671,5,417.29,65.861,Mobile,Marmara,Gold
34.164,33742.419,7,391.064,76.332,Web,Marmara,Standard
32.914,36938.74,5,515.317,69.199,Web,Akdeniz,Standard
47.438,15714.601,9,318.552,68.481,Mobile,Ic_Anadolu,Standard
35.896,37360.043,7,366.979,67.028,Mobile,Akdeniz,Gold
23.967,74141.959,8,665.878,52.002,Mobile,Marmara,Standard
25.534,39861.879,4,557.594,55.734,Web,Akdeniz,Standard
27.886,54715.208,12,585.001,81.613,Mobile,Akdeniz,Standard
43.469,33506.931,9,430.225,63.245,Mobile,Ege,Standard
39.567,30399.366,6,262.369,77.604,Mobile,Ic_Anadolu,Standard
45.595,36130.156,8,592.314,75.864,Web,Marmara,Silver
33.3,22925.059,6,232.215,74.992,Web,Ic_Anadolu,Standard
39.744,21671.763,9,456.098,71.629,Mobile,Ic_Anadolu,Standard
44.881,50574.144,7,704.437,62.54,Web,Ege,Standard
34.597,52653.61,9,535.966,66.788,Web,Marmara,Silver
43.025,21447.848,15,428.703,78.904,Store,Marmara,Standard
30.719,45154.244,9,527.809,47.044,Web,Ic_Anadolu,Gold
34.006,30241.04,5,454.147,77.938,Web,Ic_Anadolu,Standard
33.801,35565.355,9,668.345,63.299,Mobile,Ege,Standard
24.846,37230.481,7,387.309,66.037,Mobile,Akdeniz,Silver
43.357,45608.673,14,408.233,71.023,Store,Marmara,Standard
32.837,32255.147,10,414.583,68.602,Mobile,Marmara,Standard
38.137,53415.784,11,682.12,56.564,Mobile,Marmara,Standard
43.288,35156.925,8,403.3,69.117,Web,Ic_Anadolu,Gold
42.912,39623.99,9,511.127,74.244,Store,Ic_Anadolu,Standard
45.319,22773.668,9,503.982,47.855,Mobile,Ic_Anadolu,Standard
36.917,70989.725,8,663.146,54.592,Store,Akdeniz,Standard
33.344,37366.635,8,555.344,76.559,Mobile,Ege,Standard
37.123,40984.082,7,605.25,73.998,Store,Marmara,Standard
19.439,16964.69,9,412.99,71.287,Store,Ege,Silver
22.082,22865.242,5,366.809,58.679,Web,Marmara,Gold
23.45,50030.885,7,525.676,74.056,Store,Ege,Gold
27.03,34857.327,6,423.552,54.171,Store,Marmara,Standard
42.398,15104.737,8,605.035,66.227,Store,Marmara,Standard
28.04,46376.594,7,450.432,53.835,Web,Ege,Standard
33.84,25421.805,8,461.259,65.98,Mobile,Marmara,Standard
52.292,53439.233,10,390.458,58.696,Mobile,Akdeniz,Standard
34.081,30230.978,5,448.227,73.058,Mobile,Marmara,Standard
46.113,33785.552,8,424.105,71.932,Web,Akdeniz,Standard
27.73,48922.992,9,568.977,62.594,Mobile,Marmara,Silver
35.74,22224.547,5,468.637,76.403,Store,Akdeniz,Silver
27.55,21433.668,7,529.967,57.337,Mobile,Ege,Gold
34.271,29008.106,7,551.951,66.547,Mobile,Marmara,Standard
47.243,42801.382,7,478.653,60.752,Mobile,Marmara,Gold
18.999,18849.971,9,307.505,75.724,Mobile,Marmara,Standard
42.779,16583.224,9,309.342,74.734,Mobile,Ic_Anadolu,Standard
40.615,42745.275,5,511.651,78.52,Web,Marmara,Standard
31.464,24856.343,13,429.802,71.93,Mobile,Marmara,Standard
22.093,26928.867,9,446.786,38.704,Web,Ic_Anadolu,Standard
38.793,15435.295,4,331.207,60.491,Mobile,Ege,Silver
32.176,24148.749,11,542.231,85.353,Web,Ege,Standard
40.559,31167.29,6,307.333,62.95,Web,Marmara,Gold
38.24,44513.313,8,438.063,48.425,Mobile,Ege,Standard
55.62,23316.873,8,312.741,72.093,Mobile,Marmara,Silver
35.367,58676.989,6,526.873,71.441,Web,Ege,Gold
26.742,24097.628,8,524.874,60.328,Web,Marmara,Standard
39.972,24111.04,8,386.837,65.133,Mobile,Akdeniz,Gold
40.42,56061.012,5,544.752,57.027,Web,Ege,Silver
52.951,33872.368,5,510.06,70.726,Mobile,Ege,Standard
47.186,25342.31,6,387.292,66.766,Mobile,Ic_Anadolu,Silver
41.926,29467.682,6,467.774,54.542,Mobile,Akdeniz,Silver
54.096,52269.482,7,543.604,66.805,Web,Ic_Anadolu,Standard
24.924,54565.499,10,428.094,61.67,Mobile,Ege,Standard
30.963,22916.641,9,366.353,82.911,Web,Akdeniz,Standard
27.808,30757.07,5,470.209,74.437,Mobile,Marmara,Standard
33.712,32346.451,3,559.807,62.877,Mobile,Ic_Anadolu,Gold
22.856,21487.545,7,517.958,67.711,Mobile,Ic_Anadolu,Gold
44.987,30602.583,6,626.296,76.338,Mobile,Ege,Silver
35.556,31320.33,8,484.154,65.864,Web,Akdeniz,Standard
21.821,48207.968,8,468.217,75.184,Web,Ic_Anadolu,Standard
26.829,49455.152,2,504.456,78.174,Mobile,Ic_Anadolu,Standard
41.449,27581.497,14,415.844,66.891,Mobile,Akdeniz,Standard
47.219,28816.338,8,394.123,84.061,Mobile,Ic_Anadolu,Silver
59.964,40232.527,11,509.206,83.251,Store,Marmara,Standard
70.052,25024.945,6,454.904,68.686,Web,Marmara,Standard
42.559,39092.396,9,364.717,63.861,Web,Ege,Standard
27.115,30230.165,4,534.205,67.161,Mobile,Marmara,Gold
18.0,21625.502,8,237.863,65.155,Web,Ic_Anadolu,Standard
40.945,21728.978,7,383.55,58.972,Web,Ic_Anadolu,Standard
29.058,54169.988,9,631.784,73.623,Web,Marmara,Standard
33.431,29453.259,8,487.947,57.365,Mobile,Akdeniz,Standard
31.267,58298.67,9,512.098,64.914,Mobile,Ic_Anadolu,Silver
36.451,25714.703,10,596.097,65.746,Mobile,Akdeniz,Silver
49.726,34914.517,6,414.68,52.547,Store,Marmara,Silver
39.728,77591.81,3,438.254,70.685,Mobile,Ege,Standard
36.255,20914.397,4,441.187,62.517,Web,Ic_Anadolu,Gold
26.608,15196.653,8,218.382,80.588,Store,Ic_Anadolu,Silver
19.578,50965.502,12,441.191,67.953,Web,Akdeniz,Gold
32.651,22829.585,10,463.854,64.934,Web,Akdeniz,Standard
37.408,31012.064,9,397.8,59.254,Mobile,Marmara,Gold
57.447,25018.006,10,468.478,69.39,Web,Ege,Silver
39.433,34610.136,10,348.887,69.447,Store,Ic_Anadolu,Standard
48.81,21781.064,11,481.037,77.118,Store,Marmara,Standard
32.508,29191.206,14,280.089,72.47,Mobile,Akdeniz,Standard
24.966,37083.59,9,581.306,89.239,Store,Ic_Anadolu,Silver
27.384,21308.101,8,359.172,72.162,Mobile,Ic_Anadolu,Standard
30.023,23955.856,11,549.942,59.832,Web,Akdeniz,Silver
61.413,27391.678,6,349.707,55.485,Mobile,Marmara,Silver
28.965,18161.334,8,563.08,72.948,Mobile,Ege,Silver
47.223,26620.233,2,336.196,53.217,Web,Ic_Anadolu,Standard
28.068,32700.403,8,284.315,73.548,Web,Ic_Anadolu,Gold
48.247,26854.036,10,427.164,77.956,Store,Ic_Anadolu,Standard
42.234,28194.351,5,539.499,74.697,Mobile,Marmara,Silver
36.277,31021.549,6,510.485,57.508,Store,Ic_Anadolu,Standard
37.552,24362.918,9,518.371,77.515,Mobile,Marmara,Standard
30.797,40643.889,11,549.269,72.926,Mobile,Marmara,Standard
42.907,53942.378,12,453.647,64.321,Mobile,Akdeniz,Silver
32.995,26200.544,12,489.749,68.806,Web,Marmara,Silver
24.518,37585.564,13,472.915,75.813,Web,Marmara,Standard
23.943,28536.678,7,365.881,60.171,Mobile,Marmara,Standard
39.898,35914.098,10,474.273,72.019,Mobile,Akdeniz,Silver
55.37,56669.772,7,532.891,81.356,Web,Marmara,Standard
39.76,37922.149,9,593.294,77.941,Web,Marmara,Standard
36.695,15932.279,6,334.939,67.02,Web,Marmara,Silver
41.144,37142.544,6,412.31,68.541,Web,Ege,Standard
52.366,49935.538,8,449.182,62.219,Mobile,Marmara,Standard
40.413,28732.767,8,601.227,62.501,Mobile,Ic_Anadolu,Standard
33.48,45630.938,6,437.662,50.828,Mobile,Ic_Anadolu,Standard
50.169,24046.773,7,529.203,69.411,Store,Ege,Silver
42.716,17774.056,14,295.537,78.625,Web,Marmara,Standard
54.893,32979.592,10,492.441,68.292,Mobile,Ege,Standard
40.016,16035.156,11,405.3,60.927,Web,Marmara,Standard
24.531,28535.009,3,540.753,64.761,Web,Ege,Standard
22.95,50970.385,5,613.994,78.918,Mobile,Ic_Anadolu,Standard
56.16,15127.811,4,385.554,73.78,Mobile,Marmara,Standard
56.96,19221.625,7,345.592,66.605,Web,Marmara,Silver
36.025,21116.875,6,547.465,86.674,Web,Marmara,Standard
33.785,30513.926,6,380.036,93.187,Mobile,Marmara,Gold
54.076,27201.506,8,220.526,62.799,Mobile,Marmara,Gold
25.822,53192.454,6,357.315,63.741,Mobile,Marmara,Standard
28.158,44920.627,5,347.416,72.433,Web,Ic_Anadolu,Silver
45.077,37729.732,13,518.727,61.97,Mobile,Marmara,Silver
33.659,33035.55,10,646.362,77.491,Mobile,Marmara,Standard
37.944,36294.711,8,275.999,68.615,Mobile,Akdeniz,Standard
36.202,22526.478,13,336.21,74.816,Store,Ege,Gold
41.713,43292.727,9,494.523,62.546,Mobile,Ic_Anadolu,Standard
53.482,20484.488,8,537.882,59.723,Mobile,Ege,Silver
38.996,42935.027,10,414.22,49.145,Mobile,Marmara,Silver
45.083,49056.803,7,561.852,81.748,Web,Marmara,Standard
18.0,33864.703,9,427.741,77.714,Store,Ic_Anadolu,Standard
37.464,29232.578,7,667.078,73.634,Store,Akdeniz,Gold
28.724,36392.492,2,472.98,66.883,Web,Ege,Standard
24.593,10536.735,7,392.538,43.858,Mobile,Ege,Standard
28.34,35061.471,9,462.435,60.789,Mobile,Ege,Standard
34.325,29939.246,10,397.829,66.439,Web,Marmara,Silver
48.075,30661.446,11,523.417,58.887,Web,Marmara,Silver
23.41,40883.521,10,372.932,52.065,Mobile,Akdeniz,Standard
38.337,30381.459,9,256.675,58.526,Web,Marmara,Silver
32.674,20266.436,12,384.43,70.891,Mobile,Marmara,Gold
34.396,29621.833,6,507.331,66.694,Web,Ic_Anadolu,Standard
49.03,32069.833,7,391.076,75.975,Mobile,Ege,Silver
43.919,32652.441,8,462.37,88.232,Mobile,Akdeniz,Standard
52.711,33240.668,11,337.986,76.558,Mobile,Marmara,Standard
36.3,46395.615,5,594.084,63.745,Mobile,Akdeniz,Standard
30.345,20687.954,9,458.241,86.303,Mobile,Marmara,Standard
35.538,33415.2,5,450.296,49.681,Web,Marmara,Gold
40.667,51030.22,6,531.456,45.412,Web,Ege,Standard
39.942,16168.944,8,256.766,58.733,Web,Akdeniz,Silver
26.072,33465.346,6,327.312,74.322,Mobile,Marmara,Standard
38.995,25023.137,10,405.264,70.686,Store,Marmara,Standard
40.511,27149.938,5,470.659,54.217,Store,Marmara,Gold
65.692,22162.859,15,456.036,65.229,Web,Marmara,Silver
58.645,29306.679,12,400.054,57.985,Web,Ic_Anadolu,Standard
28.614,62923.635,9,629.098,55.885,Web,Akdeniz,Standard
34.839,19331.989,9,522.225,83.811,Web,Ic_Anadolu,Standard
21.902,20041.255,13,389.102,69.666,Mobile,Ege,Gold
31.502,19058.431,8,421.171,85.296,Web,Ege,Standard
41.472,60259.707,8,533.061,58.7,Mobile,Ege,Standard
51.264,26220.869,6,409.482,71.111,Web,Marmara,Silver
29.98,30953.989,10,454.315,71.271,Web,Marmara,Gold
30.804,26821.055,2,576.452,72.197,Store,Ic_Anadolu,Standard
18.0,21831.722,13,486.343,73.645,Mobile,Ic_Anadolu,Silver
36.211,28585.154,6,504.209,76.051,Web,Marmara,Standard
26.313,79549.327,4,585.122,70.342,Web,Ic_Anadolu,Silver
32.176,53049.831,6,443.202,55.287,Store,Ic_Anadolu,Standard
28.355,22604.033,9,441.997,75.627,Store,Akdeniz,Gold
36.963,39977.743,3,585.698,63.069,Mobile,Akdeniz,Silver
18.665,22788.729,5,562.755,57.733,Store,Marmara,Gold
21.863,15914.41,7,160.472,73.84,Store,Ege,Standard
61.422,46046.828,9,717.278,77.516,Store,Ic_Anadolu,Gold
23.838,48573.592,7,544.35,62.064,Web,Ic_Anadolu,Standard
25.935,46513.592,3,580.702,60.594,Web,Marmara,Standard
58.206,26145.992,9,263.967,54.429,Mobile,Ege,Standard
69.956,29337.599,8,411.515,49.553,Mobile,Akdeniz,Silver
25.113,41560.726,11,553.905,67.277,Mobile,Marmara,Standard
33.949,36270.807,10,353.776,76.921,Web,Marmara,Silver
41.757,26914.428,5,163.569,59.767,Store,Marmara,Silver
57.016,16894.657,5,415.175,79.778,Web,Marmara,Silver
27.145,32639.307,12,441.055,68.349,Mobile,Ege,Silver
35.302,47099.783,11,630.873,67.69,Web,Marmara,Silver
46.551,19829.31,7,381.874,64.009,Web,Ic_Anadolu,Standard
42.782,39844.058,11,465.442,79.516,Mobile,Marmara,Silver
33.862,35453.804,13,519.152,61.511,Web,Ic_Anadolu,Standard
36.528,41566.77,6,572.889,64.91,Web,Marmara,Silver
22.876,43536.315,6,423.66,60.726,Web,Ic_Anadolu,Silver
35.38,24007.059,9,497.34,62.684,Web,Marmara,Standard
35.07,16908.224,7,338.076,67.252,Mobile,Ic_Anadolu,Standard
40.554,25521.144,11,419.645,68.567,Mobile,Marmara,Standard
31.891,43820.998,7,548.912,77.417,Web,Ege,Silver
43.187,25438.995,10,493.905,68.892,Store,Marmara,Gold
49.14,24010.909,6,440.998,71.75,Mobile,Marmara,Standard
39.71,15644.69,5,282.922,67.228,Web,Ic_Anadolu,Gold
41.869,60840.202,8,385.678,81.638,Web,Marmara,Standard
38.585,42777.656,13,467.613,68.076,Mobile,Akdeniz,Gold
38.001,41879.866,8,568.492,64.604,Mobile,Ege,Gold
30.063,45149.552,6,534.125,73.65,Mobile,Marmara,Standard
41.481,38915.549,8,491.458,64.44,Mobile,Akdeniz,Gold
36.93,28485.63,9,428.928,73.284,Mobile,Marmara,Standard
61.025,29371.193,8,460.785,90.979,Web,Ic_Anadolu,Standard
55.307,26569.668,9,332.723,58.51,Web,Marmara,Silver
42.244,85067.598,9,717.401,83.617,Web,Ege,Standard
29.606,38609.227,7,544.665,61.978,Web,Ic_Anadolu,Standard
25.763,26206.319,6,388.82,79.577,Mobile,Marmara,Standard
51.103,37305.229,10,502.812,75.86,Store,Ic_Anadolu,Silver
40.89,21287.383,10,247.385,75.003,Store,Marmara,Silver
43.282,55365.534,7,549.149,65.39,Web,Ic_Anadolu,Silver
18.81,24313.663,3,401.533,61.595,Mobile,Marmara,Gold
48.202,37813.16,9,578.766,61.08,Store,Marmara,Gold
42.999,46867.113,10,482.38,69.063,Web,Marmara,Silver
25.785,36178.201,9,537.327,66.461,Mobile,Ege,Gold
32.813,32399.511,6,409.408,68.11,Mobile,Akdeniz,Standard
40.901,31385.61,4,234.965,50.693,Mobile,Akdeniz,Silver
38.577,30593.792,3,417.37,64.326,Web,Ic_Anadolu,Standard
34.786,25105.81,12,434.269,83.027,Web,Ic_Anadolu,Standard
36.862,26349.282,6,434.919,75.64,Mobile,Akdeniz,Standard
35.228,54843.796,9,545.873,68.53,Mobile,Ege,Standard
39.678,29994.103,6,389.781,91.824,Mobile,Marmara,Gold
54.186,23188.168,9,380.05,62.526,Web,Ic_Anadolu,Standard
18.0,25688.711,9,317.432,67.433,Web,Marmara,Gold
35.395,47483.657,7,322.935,52.395,Mobile,Ic_Anadolu,Standard
39.942,40405.877,10,465.826,64.964,Web,Marmara,Silver
41.256,38674.088,5,401.678,83.378,Store,Marmara,Standard
33.909,28343.186,8,526.197,63.945,Mobile,Ic_Anadolu,Gold
18.676,38866.102,11,273.106,54.422,Web,Marmara,Standard
41.608,24475.962,4,440.33,73.52,Mobile,Akdeniz,Silver
57.001,28320.655,8,619.859,71.492,Mobile,Akdeniz,Gold
21.128,45185.237,6,477.333,74.506,Store,Ege,Silver
47.502,43574.418,11,487.347,66.729,Store,Ic_Anadolu,Silver
34.386,21522.932,7,441.152,56.829,Mobile,Marmara,Standard
37.325,22581.809,7,452.26,65.064,Mobile,Ege,Standard
26.418,32575.209,4,408.524,70.348,Mobile,Akdeniz,Standard
34.321,60230.268,7,460.908,66.177,Web,Marmara,Standard
52.3,15094.493,9,436.801,72.18,Mobile,Marmara,Standard
44.409,34744.151,2,281.906,58.032,Web,Marmara,Silver
57.055,18529.207,12,466.167,74.651,Mobile,Ic_Anadolu,Gold
50.952,24561.961,5,379.207,65.47,Web,Ic_Anadolu,Silver
42.83,27214.827,8,424.95,60.541,Store,Marmara,Silver
57.183,26641.004,4,375.161,66.2,Mobile,Marmara,Standard
42.829,25518.464,8,546.927,63.733,Web,Ic_Anadolu,Standard
47.108,31342.763,16,462.96,79.372,Web,Marmara,Silver
34.738,25504.314,12,389.137,79.132,Mobile,Marmara,Standard
38.732,17930.639,9,357.473,73.315,Store,Marmara,Standard
30.328,42038.891,6,468.354,49.85,Web,Ic_Anadolu,Gold
48.885,41609.818,6,695.762,56.552,Web,Marmara,Standard
25.039,43062.432,8,367.087,61.234,Web,Marmara,Standard
46.606,17405.141,7,484.402,58.937,Mobile,Ege,Standard
35.903,35016.999,5,505.81,60.072,Mobile,Marmara,Silver
50.884,40411.592,10,614.012,78.252,Mobile,Akdeniz,Standard
46.26,21123.537,11,457.86,76.687,Web,Akdeniz,Silver
58.027,31366.19,12,440.942,66.161,Store,Ic_Anadolu,Standard
46.039,29906.128,5,526.826,71.418,Mobile,Ege,Silver
20.708,62945.04,7,582.776,70.188,Mobile,Marmara,Gold
37.264,64945.809,9,637.738,67.971,Mobile,Ege,Standard
25.108,16606.419,6,512.411,77.682,Store,Marmara,Silver
32.299,80635.337,8,638.463,60.987,Mobile,Ege,Standard
54.624,22075.291,7,366.71,67.428,Store,Marmara,Standard
45.013,45372.245,8,436.566,57.091,Mobile,Ic_Anadolu,Standard
30.312,45197.146,13,534.384,61.071,Mobile,Marmara,Standard
26.849,21410.521,7,323.313,53.292,Mobile,Ege,Gold
38.361,37700.995,7,433.521,57.041,Web,Marmara,Silver
24.618,30005.536,6,348.325,67.031,Mobile,Marmara,Gold
30.617,38586.023,7,514.158,63.875,Store,Ege,Standard
41.432,34120.562,11,383.539,67.001,Web,Ege,Silver
50.708,49247.26,10,393.607,66.008,Mobile,Akdeniz,Silver
44.696,32165.567,10,343.744,86.727,Web,Marmara,Standard
18.0,29325.357,8,381.392,56.228,Mobile,Marmara,Silver
41.348,47406.015,10,459.104,56.559,Web,Ege,Silver
38.792,38970.12,9,492.516,59.846,Web,Marmara,Gold
42.553,41278.171,8,464.216,66.881,Store,Akdeniz,Gold
55.778,24281.185,9,446.717,73.448,Web,Marmara,Standard
18.0,21010.974,8,441.367,73.786,Mobile,Akdeniz,Gold
31.498,25191.592,5,483.536,74.946,Mobile,Ic_Anadolu,Gold
44.5,24688.378,5,243.251,64.418,Mobile,Marmara,Silver
20.602,42140.128,6,380.627,62.237,Mobile,Marmara,Standard
54.235,45291.468,7,544.138,83.235,Mobile,Ege,Standard
42.052,29467.714,8,452.364,39.758,Mobile,Ege,Standard
47.312,53838.776,7,614.996,67.528,Store,Marmara,Standard
31.72,52576.176,12,383.254,74.7,Store,Ege,Gold
46.951,34285.973,12,409.105,89.137,Mobile,Ic_Anadolu,Gold
49.753,22872.283,5,381.296,48.894,Store,Ege,Gold
40.562,56876.818,6,553.748,61.999,Web,Ege,Standard
40.578,30540.636,6,440.693,52.624,Mobile,Akdeniz,Silver
40.974,32792.096,11,488.34,51.717,Store,Ege,Standard
28.503,27472.756,7,415.346,64.855,Store,Marmara,Standard
36.377,22289.694,10,529.24,77.331,Web,Marmara,Standard
36.322,17888.566,5,541.011,77.56,Web,Marmara,Gold
42.217,39754.963,19,372.293,69.981,Mobile,Marmara,Silver
48.998,23209.283,6,413.326,72.865,Web,Marmara,Silver
26.356,99969.645,9,776.318,66.323,Web,Ic_Anadolu,Standard
36.625,20687.647,7,452.247,72.466,Web,Marmara,Standard
54.296,19383.833,9,357.847,79.845,Mobile,Ic_Anadolu,Silver
29.821,37943.47,10,488.874,67.058,Web,Marmara,Silver
28.955,55889.909,3,392.45,74.87,Web,Marmara,Gold
40.225,32033.71,8,441.484,55.47,Web,Marmara,Standard
47.288,38849.563,14,337.994,78.365,Mobile,Ege,Standard
38.126,15513.284,9,425.385,78.637,Mobile,Marmara,Gold
52.619,24162.222,9,312.495,77.602,Mobile,Marmara,Standard
47.425,20785.814,8,414.618,55.75,Web,Ege,Standard
47.26,15212.65,7,407.238,64.842,Mobile,Marmara,Gold
44.095,32677.841,5,452.512,68.522,Store,Marmara,Silver
63.604,13329.375,9,314.391,72.731,Web,Marmara,Silver
35.743,18912.257,9,373.806,69.459,Mobile,Marmara,Standard
18.0,25485.536,11,524.318,83.992,Web,Marmara,Silver
55.647,22790.781,12,369.442,57.444,Mobile,Marmara,Standard
32.965,36338.579,8,461.692,65.197,Mobile,Ege,Silver
39.187,35105.759,7,404.911,50.022,Mobile,Ege,Silver
52.405,43898.855,10,580.68,75.212,Web,Akdeniz,Standard
20.375,41602.096,11,487.013,75.246,Store,Ic_Anadolu,Standard
24.232,48219.022,9,436.7,100.0,Mobile,Marmara,Standard
20.386,31234.265,8,440.773,77.864,Web,Marmara,Standard
29.265,35077.579,9,433.221,71.614,Mobile,Akdeniz,Standard
42.836,37963.301,6,591.345,68.749,Mobile,Marmara,Gold
43.766,32985.704,10,442.846,65.834,Web,Ege,Standard
41.039,26878.075,10,298.93,70.305,Web,Ic_Anadolu,Standard
22.46,27547.631,10,470.829,71.762,Store,Ege,Silver
18.0,22909.978,10,568.863,49.352,Web,Marmara,Silver
38.598,36688.345,4,568.833,66.769,Mobile,Marmara,Standard
32.81,30160.073,8,336.736,68.61,Mobile,Marmara,Standard
43.053,24294.226,11,389.254,87.24,Mobile,Marmara,Standard
45.721,24302.803,8,410.711,66.283,Store,Marmara,Standard
39.521,19733.017,9,394.227,60.645,Web,Ege,Standard
46.361,45340.67,8,528.674,70.285,Mobile,Marmara,Silver
40.521,32204.926,5,412.896,66.243,Mobile,Marmara,Standard
43.831,22519.48,7,324.207,65.594,Mobile,Marmara,Standard
30.249,42499.524,8,569.122,54.81,Web,Akdeniz,Silver
36.024,25261.315,7,316.038,65.34,Mobile,Marmara,Standard
40.165,18315.991,9,318.256,62.508,Store,Marmara,Gold
47.026,46076.783,6,395.538,64.035,Mobile,Ege,Standard
33.669,25486.474,8,473.124,74.922,Web,Marmara,Silver
43.733,26758.791,5,432.501,58.755,Mobile,Marmara,Standard
35.076,31750.013,9,521.631,66.088,Mobile,Marmara,Standard
36.707,48251.583,9,434.916,73.712,Mobile,Akdeniz,Standard
47.125,31495.948,7,328.367,64.206,Mobile,Ege,Gold
18.0,19817.794,10,356.271,95.092,Store,Ege,Standard
23.739,38433.058,10,451.395,71.489,Web,Akdeniz,Standard
21.696,25996.155,8,438.804,55.181,Mobile,Ege,Silver
18.0,64049.475,13,414.929,62.707,Web,Marmara,Standard
30.539,31243.746,11,483.254,60.301,Web,Ege,Standard
46.244,13368.902,5,290.937,57.25,Web,Ege,Gold
34.866,35803.42,9,399.438,73.67,Mobile,Marmara,Standard
40.176,65443.808,6,677.341,55.135,Mobile,Ic_Anadolu,Standard
49.981,56888.569,7,342.314,63.588,Mobile,Marmara,Gold
52.605,62677.802,13,590.094,82.527,Store,Marmara,Standard
37.239,21215.581,8,430.284,62.402,Mobile,Marmara,Silver
52.889,44206.093,7,416.333,73.615,Web,Marmara,Standard
39.013,23757.227,10,371.144,52.17,Store,Akdeniz,Standard
