species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,body_mass_kg,bill_area_index,flipper_mass_ratio,body_size_category,sex_encoded,island_Biscoe,island_Dream,island_Torgersen
Adelie,Dream,40.9,18.9,184.0,3900.0,male,2007,3.9,773.01,47.18,Orta,1,0,1,0
Adelie,Dream,36.4,17.0,195.0,3325.0,female,2007,3.325,618.8,58.65,Küçük,0,0,1,0
Adelie,Dream,39.2,21.1,196.0,4150.0,male,2007,4.15,827.12,47.23,Orta,1,0,1,0
Adelie,Dream,38.8,20.0,190.0,3950.0,male,2007,3.95,776.0,48.1,Orta,1,0,1,0
Adelie,Dream,42.2,18.5,180.0,3550.0,female,2007,3.55,780.7,50.7,Küçük,0,0,1,0
Adelie,Dream,37.6,19.3,181.0,3300.0,female,2007,3.3,725.68,54.85,Küçük,0,0,1,0
Adelie,Dream,39.8,19.1,184.0,4650.0,male,2007,4.65,760.18,39.57,Büyük,1,0,1,0
Adelie,Dream,36.5,18.0,182.0,3150.0,female,2007,3.15,657.0,57.78,Küçük,0,0,1,0
Adelie,Dream,40.8,18.4,195.0,3900.0,male,2007,3.9,750.72,50.0,Orta,1,0,1,0
Adelie,Dream,36.0,18.5,186.0,3100.0,female,2007,3.1,666.0,60.0,Küçük,0,0,1,0
Adelie,Dream,44.1,19.7,196.0,4400.0,male,2007,4.4,868.77,44.55,Orta,1,0,1,0
Adelie,Dream,37.0,16.9,185.0,3000.0,female,2007,3.0,625.3,61.67,Küçük,0,0,1,0
Adelie,Dream,39.6,18.8,190.0,4600.0,male,2007,4.6,744.48,41.3,Büyük,1,0,1,0
Adelie,Dream,41.1,19.0,182.0,3425.0,male,2007,3.425,780.9,53.14,Küçük,1,0,1,0
Adelie,Dream,37.5,18.9,179.0,2975.0,male,2007,2.975,708.75,60.17,Küçük,1,0,1,0
Adelie,Dream,36.0,17.9,190.0,3450.0,female,2007,3.45,644.4,55.07,Küçük,0,0,1,0
Adelie,Dream,42.3,21.2,191.0,4150.0,male,2007,4.15,896.76,46.02,Orta,1,0,1,0
Adelie,Biscoe,39.6,17.7,186.0,3500.0,female,2008,3.5,700.92,53.14,Küçük,0,1,0,0
Adelie,Biscoe,40.1,18.9,188.0,4300.0,male,2008,4.3,757.89,43.72,Orta,1,1,0,0
Adelie,Biscoe,35.0,17.9,190.0,3450.0,female,2008,3.45,626.5,55.07,Küçük,0,1,0,0
Adelie,Biscoe,42.0,19.5,200.0,4050.0,male,2008,4.05,819.0,49.38,Orta,1,1,0,0
Adelie,Biscoe,34.5,18.1,187.0,2900.0,female,2008,2.9,624.45,64.48,Küçük,0,1,0,0
Adelie,Biscoe,41.4,18.6,191.0,3700.0,male,2008,3.7,770.04,51.62,Küçük,1,1,0,0
Adelie,Biscoe,39.0,17.5,186.0,3550.0,female,2008,3.55,682.5,52.39,Küçük,0,1,0,0
Adelie,Biscoe,40.6,18.8,193.0,3800.0,male,2008,3.8,763.28,50.79,Orta,1,1,0,0
Adelie,Biscoe,36.5,16.6,181.0,2850.0,female,2008,2.85,605.9,63.51,Küçük,0,1,0,0
Adelie,Biscoe,37.6,19.1,194.0,3750.0,male,2008,3.75,718.16,51.73,Orta,1,1,0,0
Adelie,Biscoe,35.7,16.9,185.0,3150.0,female,2008,3.15,603.33,58.73,Küçük,0,1,0,0
Adelie,Biscoe,41.3,21.1,195.0,4400.0,male,2008,4.4,871.43,44.32,Orta,1,1,0,0
Adelie,Biscoe,37.6,17.0,185.0,3600.0,female,2008,3.6,639.2,51.39,Küçük,0,1,0,0
Adelie,Biscoe,41.1,18.2,192.0,4050.0,male,2008,4.05,748.02,47.41,Orta,1,1,0,0
Adelie,Biscoe,36.4,17.1,184.0,2850.0,female,2008,2.85,622.44,64.56,Küçük,0,1,0,0
Adelie,Biscoe,41.6,18.0,192.0,3950.0,male,2008,3.95,748.8,48.61,Orta,1,1,0,0
Adelie,Biscoe,35.5,16.2,195.0,3350.0,female,2008,3.35,575.1,58.21,Küçük,0,1,0,0
Adelie,Biscoe,41.1,19.1,188.0,4100.0,male,2008,4.1,785.01,45.85,Orta,1,1,0,0
Adelie,Torgersen,35.9,16.6,190.0,3050.0,female,2008,3.05,595.94,62.3,Küçük,0,0,0,1
Adelie,Torgersen,41.8,19.4,198.0,4450.0,male,2008,4.45,810.92,44.49,Orta,1,0,0,1
Adelie,Torgersen,33.5,19.0,190.0,3600.0,female,2008,3.6,636.5,52.78,Küçük,0,0,0,1
Adelie,Torgersen,39.7,18.4,190.0,3900.0,male,2008,3.9,730.48,48.72,Orta,1,0,0,1
Adelie,Torgersen,39.6,17.2,196.0,3550.0,female,2008,3.55,681.12,55.21,Küçük,0,0,0,1
Adelie,Torgersen,45.8,18.9,197.0,4150.0,male,2008,4.15,865.62,47.47,Orta,1,0,0,1
Adelie,Torgersen,35.5,17.5,190.0,3700.0,female,2008,3.7,621.25,51.35,Küçük,0,0,0,1
Adelie,Torgersen,42.8,18.5,195.0,4250.0,male,2008,4.25,791.8,45.88,Orta,1,0,0,1
Adelie,Torgersen,40.9,16.8,191.0,3700.0,female,2008,3.7,687.12,51.62,Küçük,0,0,0,1
Adelie,Torgersen,37.2,19.4,184.0,3900.0,male,2008,3.9,721.68,47.18,Orta,1,0,0,1
Adelie,Torgersen,36.2,16.1,187.0,3550.0,female,2008,3.55,582.82,52.68,Küçük,0,0,0,1
Adelie,Torgersen,42.1,19.1,195.0,4000.0,male,2008,4.0,804.11,48.75,Orta,1,0,0,1
Adelie,Torgersen,34.6,17.2,189.0,3200.0,female,2008,3.2,595.12,59.06,Küçük,0,0,0,1
Adelie,Torgersen,42.9,17.6,196.0,4700.0,male,2008,4.7,755.04,41.7,Büyük,1,0,0,1
Adelie,Torgersen,36.7,18.8,187.0,3800.0,female,2008,3.8,689.96,49.21,Orta,0,0,0,1
Adelie,Torgersen,35.1,19.4,193.0,4200.0,male,2008,4.2,680.94,45.95,Orta,1,0,0,1
Adelie,Dream,37.3,17.8,191.0,3350.0,female,2008,3.35,663.94,57.01,Küçük,0,0,1,0
Adelie,Dream,41.3,20.3,194.0,3550.0,male,2008,3.55,838.39,54.65,Küçük,1,0,1,0
Adelie,Dream,36.3,19.5,190.0,3800.0,male,2008,3.8,707.85,50.0,Orta,1,0,1,0
Adelie,Dream,36.9,18.6,189.0,3500.0,female,2008,3.5,686.34,54.0,Küçük,0,0,1,0
Adelie,Dream,38.3,19.2,189.0,3950.0,male,2008,3.95,735.36,47.85,Orta,1,0,1,0
Adelie,Dream,38.9,18.8,190.0,3600.0,female,2008,3.6,731.32,52.78,Küçük,0,0,1,0
Adelie,Dream,35.7,18.0,202.0,3550.0,female,2008,3.55,642.6,56.9,Küçük,0,0,1,0
Adelie,Dream,41.1,18.1,205.0,4300.0,male,2008,4.3,743.91,47.67,Orta,1,0,1,0
Adelie,Dream,34.0,17.1,185.0,3400.0,female,2008,3.4,581.4,54.41,Küçük,0,0,1,0
Adelie,Dream,39.6,18.1,186.0,4450.0,male,2008,4.45,716.76,41.8,Orta,1,0,1,0
Adelie,Dream,36.2,17.3,187.0,3300.0,female,2008,3.3,626.26,56.67,Küçük,0,0,1,0
Adelie,Dream,40.8,18.9,208.0,4300.0,male,2008,4.3,771.12,48.37,Orta,1,0,1,0
Adelie,Dream,38.1,18.6,190.0,3700.0,female,2008,3.7,708.66,51.35,Küçük,0,0,1,0
Adelie,Dream,40.3,18.5,196.0,4350.0,male,2008,4.35,745.55,45.06,Orta,1,0,1,0
Adelie,Dream,33.1,16.1,178.0,2900.0,female,2008,2.9,532.91,61.38,Küçük,0,0,1,0
Adelie,Dream,43.2,18.5,192.0,4100.0,male,2008,4.1,799.2,46.83,Orta,1,0,1,0
Adelie,Biscoe,35.0,17.9,192.0,3725.0,female,2009,3.725,626.5,51.54,Orta,0,1,0,0
Adelie,Biscoe,41.0,20.0,203.0,4725.0,male,2009,4.725,820.0,42.96,Büyük,1,1,0,0
Adelie,Biscoe,37.7,16.0,183.0,3075.0,female,2009,3.075,603.2,59.51,Küçük,0,1,0,0
Adelie,Biscoe,37.8,20.0,190.0,4250.0,male,2009,4.25,756.0,44.71,Orta,1,1,0,0
Adelie,Biscoe,37.9,18.6,193.0,2925.0,female,2009,2.925,704.94,65.98,Küçük,0,1,0,0
Adelie,Biscoe,39.7,18.9,184.0,3550.0,male,2009,3.55,750.33,51.83,Küçük,1,1,0,0
Adelie,Biscoe,38.6,17.2,199.0,3750.0,female,2009,3.75,663.92,53.07,Orta,0,1,0,0
Adelie,Biscoe,38.2,20.0,190.0,3900.0,male,2009,3.9,764.0,48.72,Orta,1,1,0,0
Adelie,Biscoe,38.1,17.0,181.0,3175.0,female,2009,3.175,647.7,57.01,Küçük,0,1,0,0
Adelie,Biscoe,43.2,19.0,197.0,4775.0,male,2009,4.775,820.8,41.26,Büyük,1,1,0,0
Adelie,Biscoe,38.1,16.5,198.0,3825.0,female,2009,3.825,628.65,51.76,Orta,0,1,0,0
Adelie,Biscoe,45.6,20.3,191.0,4600.0,male,2009,4.6,925.68,41.52,Büyük,1,1,0,0
Adelie,Biscoe,39.7,17.7,193.0,3200.0,female,2009,3.2,702.69,60.31,Küçük,0,1,0,0
Adelie,Biscoe,42.2,19.5,197.0,4275.0,male,2009,4.275,822.9,46.08,Orta,1,1,0,0
Adelie,Biscoe,39.6,20.7,191.0,3900.0,female,2009,3.9,819.72,48.97,Orta,0,1,0,0
Adelie,Biscoe,42.7,18.3,196.0,4075.0,male,2009,4.075,781.41,48.1,Orta,1,1,0,0
Adelie,Torgersen,38.6,17.0,188.0,2900.0,female,2009,2.9,656.2,64.83,Küçük,0,0,0,1
Adelie,Torgersen,37.3,20.5,199.0,3775.0,male,2009,3.775,764.65,52.72,Orta,1,0,0,1
Adelie,Torgersen,35.7,17.0,189.0,3350.0,female,2009,3.35,606.9,56.42,Küçük,0,0,0,1
Adelie,Torgersen,41.1,18.6,189.0,3325.0,male,2009,3.325,764.46,56.84,Küçük,1,0,0,1
Adelie,Torgersen,36.2,17.2,187.0,3150.0,female,2009,3.15,622.64,59.37,Küçük,0,0,0,1
Adelie,Torgersen,37.7,19.8,198.0,3500.0,male,2009,3.5,746.46,56.57,Küçük,1,0,0,1
Adelie,Torgersen,40.2,17.0,176.0,3450.0,female,2009,3.45,683.4,51.01,Küçük,0,0,0,1
Adelie,Torgersen,41.4,18.5,202.0,3875.0,male,2009,3.875,765.9,52.13,Orta,1,0,0,1
Adelie,Torgersen,35.2,15.9,186.0,3050.0,female,2009,3.05,559.68,60.98,Küçük,0,0,0,1
Adelie,Torgersen,40.6,19.0,199.0,4000.0,male,2009,4.0,771.4,49.75,Orta,1,0,0,1
Adelie,Torgersen,38.8,17.6,191.0,3275.0,female,2009,3.275,682.88,58.32,Küçük,0,0,0,1
Adelie,Torgersen,41.5,18.3,195.0,4300.0,male,2009,4.3,759.45,45.35,Orta,1,0,0,1
Adelie,Torgersen,39.0,17.1,191.0,3050.0,female,2009,3.05,666.9,62.62,Küçük,0,0,0,1
Adelie,Torgersen,44.1,18.0,210.0,4000.0,male,2009,4.0,793.8,52.5,Orta,1,0,0,1
Adelie,Torgersen,38.5,17.9,190.0,3325.0,female,2009,3.325,689.15,57.14,Küçük,0,0,0,1
Adelie,Torgersen,43.1,19.2,197.0,3500.0,male,2009,3.5,827.52,56.29,Küçük,1,0,0,1
Adelie,Dream,36.8,18.5,193.0,3500.0,female,2009,3.5,680.8,55.14,Küçük,0,0,1,0
Adelie,Dream,37.5,18.5,199.0,4475.0,male,2009,4.475,693.75,44.47,Orta,1,0,1,0
Adelie,Dream,38.1,17.6,187.0,3425.0,female,2009,3.425,670.56,54.6,Küçük,0,0,1,0
Adelie,Dream,41.1,17.5,190.0,3900.0,male,2009,3.9,719.25,48.72,Orta,1,0,1,0
Adelie,Dream,35.6,17.5,191.0,3175.0,female,2009,3.175,623.0,60.16,Küçük,0,0,1,0
Adelie,Dream,40.2,20.1,200.0,3975.0,male,2009,3.975,808.02,50.31,Orta,1,0,1,0
Adelie,Dream,37.0,16.5,185.0,3400.0,female,2009,3.4,610.5,54.41,Küçük,0,0,1,0
Adelie,Dream,39.7,17.9,193.0,4250.0,male,2009,4.25,710.63,45.41,Orta,1,0,1,0
Adelie,Dream,40.2,17.1,193.0,3400.0,female,2009,3.4,687.42,56.76,Küçük,0,0,1,0
Adelie,Dream,40.6,17.2,187.0,3475.0,male,2009,3.475,698.32,53.81,Küçük,1,0,1,0
Adelie,Dream,32.1,15.5,188.0,3050.0,female,2009,3.05,497.55,61.64,Küçük,0,0,1,0
Adelie,Dream,40.7,17.0,190.0,3725.0,male,2009,3.725,691.9,51.01,Orta,1,0,1,0
Adelie,Dream,37.3,16.8,192.0,3000.0,female,2009,3.0,626.64,64.0,Küçük,0,0,1,0
Adelie,Dream,39.0,18.7,185.0,3650.0,male,2009,3.65,729.3,50.68,Küçük,1,0,1,0
Adelie,Dream,39.2,18.6,190.0,4250.0,male,2009,4.25,729.12,44.71,Orta,1,0,1,0
Adelie,Dream,36.6,18.4,184.0,3475.0,female,2009,3.475,673.44,52.95,Küçük,0,0,1,0
Adelie,Dream,36.0,17.8,195.0,3450.0,female,2009,3.45,640.8,56.52,Küçük,0,0,1,0
Adelie,Dream,37.8,18.1,193.0,3750.0,male,2009,3.75,684.18,51.47,Orta,1,0,1,0
Adelie,Dream,36.0,17.1,187.0,3700.0,female,2009,3.7,615.6,50.54,Küçük,0,0,1,0
Adelie,Dream,41.5,18.5,201.0,4000.0,male,2009,4.0,767.75,50.25,Orta,1,0,1,0
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,female,2007,4.5,608.52,46.89,Orta,0,1,0,0
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,male,2007,5.7,815.0,40.35,Büyük,1,1,0,0
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,female,2007,4.45,686.67,47.19,Orta,0,1,0,0
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,male,2007,5.7,760.0,38.25,Büyük,1,1,0,0
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,male,2007,5.4,690.2,39.81,Büyük,1,1,0,0
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,female,2007,4.55,627.75,46.15,Orta,0,1,0,0
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,female,2007,4.8,662.84,43.96,Büyük,0,1,0,0
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,male,2007,5.2,714.51,42.12,Büyük,1,1,0,0
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,female,2007,4.4,580.22,47.5,Orta,0,1,0,0
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,male,2007,5.15,720.72,41.75,Büyük,1,1,0,0
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,female,2007,4.65,560.33,46.02,Büyük,0,1,0,0
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,male,2007,5.55,788.9,38.92,Büyük,1,1,0,0
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,female,2007,4.65,623.35,46.02,Büyük,0,1,0,0
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,male,2007,5.85,706.64,36.41,Büyük,1,1,0,0
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,female,2007,4.2,668.68,50.0,Orta,0,1,0,0
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,male,2007,5.85,774.01,37.09,Büyük,1,1,0,0
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,female,2007,4.15,567.0,50.6,Orta,0,1,0,0
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,male,2007,6.3,747.84,35.08,Büyük,1,1,0,0
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,female,2007,4.8,669.9,43.54,Büyük,0,1,0,0
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,male,2007,5.35,735.37,41.5,Büyük,1,1,0,0
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,male,2007,5.7,717.86,38.25,Büyük,1,1,0,0
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,female,2007,5.0,653.95,43.0,Büyük,0,1,0,0
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,female,2007,4.4,674.25,48.41,Orta,0,1,0,0
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,male,2007,5.05,731.54,42.57,Büyük,1,1,0,0
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,female,2007,5.0,561.99,43.0,Büyük,0,1,0,0
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,male,2007,5.1,696.11,42.16,Büyük,1,1,0,0
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,male,2007,4.1,636.35,52.68,Orta,1,1,0,0
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,male,2007,5.65,717.0,38.05,Büyük,1,1,0,0
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,female,2007,4.6,689.26,45.65,Büyük,0,1,0,0
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,male,2007,5.55,765.0,39.64,Büyük,1,1,0,0
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,male,2007,5.25,723.69,42.29,Büyük,1,1,0,0
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,female,2007,4.7,607.76,44.47,Büyük,0,1,0,0
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,female,2007,5.05,653.95,40.99,Büyük,0,1,0,0
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,male,2007,6.05,1013.2,38.02,Büyük,1,1,0,0
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,female,2008,5.15,726.68,42.72,Büyük,0,1,0,0
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,male,2008,5.4,788.92,40.74,Büyük,1,1,0,0
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,female,2008,4.95,583.62,43.03,Büyük,0,1,0,0
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,male,2008,5.25,768.12,41.71,Büyük,1,1,0,0
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,female,2008,4.35,598.4,47.82,Orta,0,1,0,0
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,male,2008,5.35,764.59,38.88,Büyük,1,1,0,0
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,female,2008,3.95,584.99,52.66,Orta,0,1,0,0
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,male,2008,5.7,793.6,39.47,Büyük,1,1,0,0
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,female,2008,4.3,620.61,48.84,Orta,0,1,0,0
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,male,2008,4.75,744.0,45.47,Büyük,1,1,0,0
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,male,2008,5.55,802.95,40.0,Büyük,1,1,0,0
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,female,2008,4.9,606.04,44.29,Büyük,0,1,0,0
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,female,2008,4.2,632.45,50.0,Orta,0,1,0,0
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,male,2008,5.4,802.95,41.67,Büyük,1,1,0,0
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,female,2008,5.1,597.17,41.76,Büyük,0,1,0,0
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,male,2008,5.3,714.16,40.57,Büyük,1,1,0,0
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,female,2008,4.85,661.72,43.3,Büyük,0,1,0,0
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,male,2008,5.3,683.85,41.51,Büyük,1,1,0,0
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,female,2008,4.4,649.44,47.73,Orta,0,1,0,0
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,male,2008,5.0,751.5,45.0,Büyük,1,1,0,0
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,female,2008,4.9,669.6,44.29,Büyük,0,1,0,0
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,male,2008,5.05,693.0,43.56,Büyük,1,1,0,0
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,female,2008,4.3,608.82,48.37,Orta,0,1,0,0
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,male,2008,5.0,682.5,44.0,Büyük,1,1,0,0
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,female,2008,4.45,626.4,46.74,Orta,0,1,0,0
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,male,2008,5.55,771.12,40.36,Büyük,1,1,0,0
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,female,2008,4.2,625.14,49.52,Orta,0,1,0,0
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,male,2008,5.3,688.38,41.7,Büyük,1,1,0,0
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,female,2008,4.4,635.23,48.64,Orta,0,1,0,0
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,male,2008,5.65,852.51,40.88,Büyük,1,1,0,0
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,female,2008,4.7,650.36,46.6,Büyük,0,1,0,0
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,male,2008,5.7,836.64,40.35,Büyük,1,1,0,0
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,male,2008,4.65,665.28,46.02,Büyük,1,1,0,0
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,male,2008,5.8,801.9,39.48,Büyük,1,1,0,0
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,female,2008,4.7,617.7,46.81,Büyük,0,1,0,0
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,male,2008,5.55,760.5,40.18,Büyük,1,1,0,0
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,female,2008,4.75,715.5,45.47,Büyük,0,1,0,0
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,male,2008,5.0,723.84,44.2,Büyük,1,1,0,0
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,male,2008,5.1,751.92,43.33,Büyük,1,1,0,0
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,female,2008,5.2,688.2,41.73,Büyük,0,1,0,0
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,female,2008,4.7,696.0,45.96,Büyük,0,1,0,0
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,male,2008,5.8,777.6,39.66,Büyük,1,1,0,0
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,female,2008,4.6,674.5,45.43,Büyük,0,1,0,0
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,male,2008,6.0,832.93,36.67,Büyük,1,1,0,0
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,female,2008,4.75,623.76,45.26,Büyük,0,1,0,0
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,male,2008,5.95,741.28,37.48,Büyük,1,1,0,0
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,female,2009,4.625,711.95,45.84,Büyük,0,1,0,0
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,male,2009,5.45,819.0,40.55,Büyük,1,1,0,0
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,female,2009,4.725,692.04,44.87,Büyük,0,1,0,0
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,male,2009,5.35,795.0,41.87,Büyük,1,1,0,0
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,female,2009,4.75,619.62,44.63,Büyük,0,1,0,0
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,male,2009,5.6,878.84,40.71,Büyük,1,1,0,0
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,female,2009,4.6,624.96,47.39,Büyük,0,1,0,0
